listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
4i5UpLVefBpzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-SG-Highway-in-Ahmedabad&id=4d423833363031313435,2026-04-19 13:53:50,23.0977,72.53133,,SG Highway,"Godrej Garden City ,Jagatpur","19203|Pmg Hospital ( Orthopedic Joint Replacement & Advanced Surgical Center ), 19206|Dev Arc Mall",,,Apartment,Furnished,4,12,North - East,600,Sq-ft,5 to 10 years,"fully furnished Grab the chance to own this affordable 1 BHK flat for rent in the SG Highway area. The apartment is available at an affordable rental price of ₹21,000. The apartment is on the 4 floor, has a carpet area of 405 sqft with 2 bathrooms and 1 balcony. This unit is designed with power back up, reserved parking, security. Visit the flat at 44/46, New Chamunda Society, Godrej Garden City, Chandkheda.",21000,,,35,2,,Yes,No,No,Laundry Service,False,True,Agent,74,Immediately,2026-03-01T05:32:32.000Z,"Mar 01, '26",True
SeimiXN9z+1zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Vaishnodevi-Circle-in-Ahmedabad&id=4d423833323935323939,2026-04-19 13:53:50,23.138462,72.544395,,Vaishnodevi Circle,"Sarkhej Gandhinagar Highway,Ahmedabad","19210|Vaishnodevi Circle Bus Stop, 19201|Shaligram Lakeview, 19202|Adani Institute of Infrastructure Management, 19202|Hiramani School, 19203|KD Hospital",380060,,Apartment,Furnished,2,7,East,650,Sq-ft,5 to 10 years,Residential apartment for 1 bhk full furnished in adani aangan shantigram township. flat is very well maintained 24 hours lift security water service availble. furniture is very well maintained garden view flat. all amenities is walking distance near by flat. more details call sms me,22000,44000,1850,34,1,1 Open,Yes,No,No,Jogging and Strolling Track,False,True,Agent,100,Immediately,2026-04-18T23:45:34.000Z,Today,True
1K+lH8ivhxxzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-721-Sq-ft-Multistorey-Apartment-FOR-Rent-Shela-in-Ahmedabad&id=4d423831363534393737,2026-04-19 13:53:50,23.0020765354966,72.4569337185701,,Shela,opp club o7,"19201|Freshqo, 19202|MICA, 19202|Shanti Asiatic School",,,Apartment,Semi-Furnished,4,14,East,721,Sq-ft,Less than 5 years,"1bhk semi furnished flat available for rent 1 BHK apartment is available on rent in Shela Ahmedabad right away. The 1 BHK apartment is available at a reasonable rent of ₹17,000. Get access to smart facilities such as Gas Connection simply by choosing this flat for rent. The apartment is on the 4 floor, has a carpet area of 508 sqft with 2 bathrooms and 1 balcony. This unit features power back up, reserved parking, security. The flat can be visited at D503, Shayona City, Chanakyapuri, Ahmedabad, Gujarat .",17000,31800,0,24,2,,Yes,No,No,Jogging and Strolling Track,True,True,Agent,87,Immediately,2026-04-17T23:45:19.000Z,Yesterday,True
mzKHvOjFSxZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-100-Sq-yrd-Multistorey-Apartment-FOR-Rent-Paldi-in-Ahmedabad&id=4d423830383637353939,2026-04-19 13:53:50,23.0098454531174,72.5629871294904,,Paldi,"Vitrag Flat, Santivan","19210|Paldi Metro Station, 19210|Paldi Bus Stand, 19202|Shri Rambali Vidya Mandir High School, 19202|S.L.U. Arts and H. & .P Thakore Commerce College for Women, 19203|Aarna Superspeciality Hospital, 19203|AIMS",,,Apartment,Furnished,2,2,East,100,Sq-yrd,15 to 20 years,"Nearest to Riverfront 1 BHK flat is available for rent in Paldi immediately. The multistorey apartment is available at rent of ₹16,600. Located on the 2 floor, the flat has 1 bathrooms, 1 balcony in carpet area of 90 sqyrd. The apartment is equipped with power back up, reserved parking, security, air conditioned. This flat is located at Vitrag Flat, Santivan, Paldi, Ahmedabad - Central, Gujarat.",16600,33200,0,18,1,,No,No,Yes,Air Conditioned,True,True,Agent,78,Immediately,2026-04-18T23:45:34.000Z,Today,True
J+j3Ql3wAWNzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Vastrapur-in-Ahmedabad&id=4d423834323134353031,2026-04-19 13:53:50,23.0362839785399,72.5297967553398,,Vastrapur,Chandra,"19201|Alfa Shopping Centre, 19201|The First, 19202|Little Genius, 19202|L J Institute of Computer Application, 19203|Shivam Hospital, 19203|Nova Hospital, 19206|Advait Shopping Mall, 19206|Nexus Ahmedabad One",,,Apartment,Furnished,2,4,East,650,Sq-ft,Above 20 years,"Opp. AMA A beautiful 1 BHK flat is available for rent in Vastrapur. The multistorey apartment is available at rent of ₹13,500. Located on the 2 floor, the flat comprises 1 bathrooms, 1 balcony, and has a carpet area of 550 sqft. This unit features visitor parking.",13500,,,21,1,,No,No,No,Visitor Parking,True,True,Agent,81,Immediately,2026-04-18T23:45:31.000Z,Today,True
+f6P+819JmJzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-Thaltej-in-Ahmedabad&id=4d423834323036373339,2026-04-19 13:53:50,23.0584766,72.5051231,,Thaltej,SG highway near thaltej cross roads,"19210|Ambli Road, 19210|Thaltej Gam, 19201|Palladium Ahmedabad, 19201|Shilp corporate park, 19202|Utopia School, 19202|Udgam School For Children, 19203|Urban Health Center Thaltej, 19203|Health1 Super Speciality Hospital, Shilaj, 19206|PVR Acropolis, 19206|SG Mall",,,Apartment,Furnished,2,5,North,800,Sq-ft,10 to 15 years,"1bhk at very reasonable rent and suitable for executive You can explore this 1 BHK flat on rent in Thaltej Ahmedabad. The apartment is available at an affordable rental price of ₹16,000. The apartment is on the 2 floor, has a covered area of 800 sqft with 2 bathrooms and 1 balcony. This unit is designed with power back up, reserved parking, security, service/goods lift, intercom facility, ro water system. Find this apartment at Near New York Tower, Thaltej Crossroad, S.G Highway, Jay Ambenagar Rd, Jai Ambe Nagar, Thaltej, Ahme.",16000,32000,0,20,2,,No,No,No,"Laundry Service, Internet/Wi-Fi Connectivity, RO Water System, Jogging and Strolling Track",False,True,Agent,80,Immediately,2026-04-17T23:45:21.000Z,Yesterday,True
6ilyATBnsl1zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Jagatpur-in-Ahmedabad&id=4d423834323233313833,2026-04-19 13:53:50,23.1122456,72.5480612,,Jagatpur,"Jagatpur,Ahmedabad",19202|Global Indian International School,,,Apartment,Furnished,6,14,East,600,Sq-ft,2023,"1 BHK Fully Furnished Flat For Rent At Vanangan Godrej Garden City 1 BHK flat is available for rent in Jagatpur immediately. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹21,000. Some premium add-on facilities bundled with the flat are 1 Wardrobe, 1 Bed, 1 TV, Fridge, 1 AC, Sofa, Washing Machine, Dining Table and Gas Connection. 1 Covered parking facility are also available. The apartment is equipped with power back up, reserved parking, security. The flat can be visited at Off, Village, Sarkhej - Gandhinagar Hwy, behind Nirma University, Jagatpur, Ahmedabad, Gujarat 38248.",21000,42000,0,35,1,1 Covered,No,No,No,,False,True,Agent,98,Immediately,2026-04-18T23:45:34.000Z,Today,True
MHgSqZ9OW/ZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-662-Sq-ft-Multistorey-Apartment-FOR-Rent-SG-Highway-in-Ahmedabad&id=4d423834313339373131,2026-04-19 13:53:50,23.0977,72.53133,,SG Highway,vaisnodevi,"19203|Pmg Hospital ( Orthopedic Joint Replacement & Advanced Surgical Center ), 19206|Dev Arc Mall",,,Apartment,Furnished,3,5,East,662,Sq-ft,5 to 10 years,"furnished flat middle floor Check out this newly constructed 1 BHK flat on rent in the prime location of SG Highway Ahmedabad. This 1 BHK flat is available at the reasonable rent amount of ₹22,500. Located on the 3 floor, the flat has 1 bathrooms, 1 balcony in covered area of 662 sqft. The building comprises 5 floor and includes Kids play area features. The residence includes power back up, reserved parking, security, service/goods lift. The apartment is located at SG Highway,Ahmedabad,Gujarat.",22500,45000,2500,34,1,,Yes,No,No,"Service/Goods Lift, Jogging and Strolling Track",True,True,Agent,85,Immediately,2026-04-16T23:45:21.000Z,"Apr 17, '26",True
ue8PIIgq+odzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Godrej-Garden-City-in-Ahmedabad&id=4d423832393233313733,2026-04-19 13:53:50,23.11795635,72.5558053,,Godrej Garden City,Vrindavan Godrej Garden City Ahmedabad.,,,,Apartment,Unfurnished,6,6,North,600,Sq-ft,Less than 5 years,"Its Located At One Of The Premium Clusters Of Godrej Garden City Ahmedabad. You can explore this 1 BHK flat on rent in Godrej Garden City Ahmedabad. The rent of the 1 BHK flat is ₹16,000. The flat is located on the 6 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 390 sqft. This flat is fitted with power back up, security, service/goods lift, visitor parking. The flat can be visited at Vrindavan Godrej Garden City Ahmedabad., Godrej Garden City, Ahmedabad - North, Gujarat.",16000,,,27,1,,Yes,No,No,"Service/Goods Lift, Visitor Parking, Laundry Service, Jogging and Strolling Track",True,True,Agent,78,Immediately,2026-03-15T13:09:38.000Z,"Mar 15, '26",True
kKE6Oi7Z/V1zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-735-Sq-ft-Multistorey-Apartment-FOR-Rent-Shela-in-Ahmedabad&id=4d423834323337343539,2026-04-19 13:53:50,23.0020765354966,72.4569337185701,,Shela,Near sp ring road Ahmedabad,"19201|Freshqo, 19202|Shanti Business School, 19202|MICA",,,Apartment,Semi-Furnished,7,14,East,735,Sq-ft,New Construction,"1 Bhk kitchen furniture tube light fan fitted A beautiful 1 BHK flat is available for rent in Shela. The flat is available for rent at a competitive amount of ₹16,000. You will also find 1 Open parking facility. The residence includes power back up, reserved parking, security, service/goods lift, intercom facility. This flat is located at Club O7 Rd, Khadiya, Shela, Gujarat.",16000,32000,0,22,2,1 Open,No,No,No,"Laundry Service, Bar/Lounge, Jogging and Strolling Track, Outdoor Tennis Courts",True,True,Agent,100,Immediately,2026-04-14T15:27:19.000Z,"Apr 14, '26",True
