listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
lCu2DxlfHbhzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Builder-Floor-Apartment-FOR-Rent-HSR-Layout-in-Bangalore&id=4d423833393534313433,2026-04-19 11:31:21,12.9114311,77.6445763,,HSR Layout,HSR Layout 27th Main Road,"19210|HSR Layout Metro Station, 19210|Mangammanapalya Bus Stop, 19201|Star Bazaar, 19201|Global Techonology Park, 19202|SB English School, 19202|Jss Public School, 19203|Devi Eye Hospital, 19203|Shri Tirumala Hospital, 19206|Freshco Hyperbazaar, 19206|Reliance Digital",,,Builder Floor Apartment,Semi-Furnished,3,4,North,600,Sq-ft,Less than 5 years,"very Close to Sarjapura Main Road Find this 1 BHK rental flat in HSR Layout Bangalore. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹25,000. The flat comes with power back up, security. The address is HSR Layout 27th Main Road, HSR Layout, Bangalore - South, Karnataka.",25000,15000,0,42,1,,No,No,No,,True,True,Agent,56,Immediately,2026-04-12T23:45:21.000Z,Today,True
IPHiLYX36kNzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-whitefield-in-Bangalore&id=4d423834303632343331,2026-04-19 11:31:21,12.9680475,77.739097,,Whitefield,201.,"19210|Kundalahalli Metro Station, 19210|Varthuru Police Station Bus Stop, 19201|Loyal World Market, 19201|Prestige Shantiniketan - Tower C, 19202|K K English High School, 19202|Sarah Montessori, 19203|Siddhanth Hospital, 19203|Columbia Asia Hospital,Whitefield, 19206|DMart, 19206|More Super Market",,,Apartment,Semi-Furnished,2,5,East,600,Sq-ft,Less than 5 years,"Find this 1 BHK rental flat in whitefield Bangalore. Available at a rental price of ₹18,200, this 1 BHK flat is worth considering. Some attractive additional facilities available with the flat are 2 Wardrobe. The apartment is on the 2 floor, has a carpet area of 550 sqft with 1 bathrooms and 1 balcony. This home provides power back up, security. You can visit the flat at 201., whitefield, Bangalore - East, Karnataka.",18200,70000,2000,30,1,,No,No,No,,False,True,Agent,98,Select Date,2026-04-11T23:45:22.000Z,Yesterday,True
AAj4qsJts3ZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/2-BHK-795-Sq-ft-Multistorey-Apartment-FOR-Rent-Huvinayakanahalli-in-Bangalore&id=4d423832343635363439,2026-04-19 11:31:21,13.153563,77.68604,,Huvinayakanahalli,"Bagalur Main Road,Bangalore",,,,Apartment,Semi-Furnished,9,22,East,795,Sq-ft,2018,"2 BHK apartment is available on rent in Huvinayakanahalli Bangalore right away. The apartment is available at an affordable rental price of ₹21,000. The apartment is on the 9 floor, has a carpet area of 556 sqft with 2 bathrooms and 2 balcony. There is also facility of 1 Covered parking. The building has 22 floor and offers Kids play area amenities. This home provides power back up, reserved parking, security. The address is Aerospace Park, Near Shell Office, Huvinayakanahalli, Bengaluru, Karnataka.",21000,100000,0,26,2,1 Covered,Yes,No,No,Jogging and Strolling Track,True,True,Agent,78,Immediately,2026-04-10T23:45:21.000Z,"Apr 11, '26",True
2nNKn+KPgPpzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/2-BHK-730-Sq-ft-Multistorey-Apartment-FOR-Rent-Kengeri-in-Bangalore&id=4d423832343637303137,2026-04-19 11:31:21,12.90266259,77.48123034,,Kengeri,"Provident Sunworth City, Near Mysore Road  Nice Junction Kengeri, Kambipura, Bangalore 560060","19210|Kengeri Police Station Bus Stop, 19202|Sanjo Sadan Convent School, 19202|National Public School, 19203|Kengeri Government Hospital, 19203|H.K. Hospital, 19206|S Mart",,,Apartment,Semi-Furnished,6,12,North,730,Sq-ft,Less than 5 years,"It is a Semi Furnished 2 BHK Apartment in Provident Sunworth City You can explore this 2 BHK flat on rent in Kengeri Bangalore. The rent of the 2 BHK flat is ₹22,000. Additional amenities available with the flat are 2 Wardrobe. Located on the 6 floor, the flat comprises 2 bathrooms, 2 balcony, and has a carpet area of 680 sqft. You will also find 1 Covered parking facility. The building includes 12 floor and supports Kids play area living. The residence includes reserved parking, security. You can visit the flat at Nice - Mysore Road Venkatapura, Kengeri Hobli, Bengaluru, Karnataka.",22000,110000,2600,30,2,1 Covered,Yes,Yes,No,Jogging and Strolling Track,True,True,Agent,80,Immediately,2026-04-10T23:45:21.000Z,"Apr 11, '26",True
hCOoFFczvcxzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-605-Sq-ft-Multistorey-Apartment-FOR-Rent-Sarjapur-Road-in-Bangalore&id=4d423834303031313539,2026-04-19 11:31:21,12.91235,77.680996,,Sarjapur Road,"Bangalore, Karnataka","19202|St Jeromes PU and Degree College, 19202|St.Johns Medical College, 19203|Columbia Asia Hospital Sarjapur Road, 19206|MK Retail, 19206|Total Mall",,,Apartment,Semi-Furnished,3,5,West,605,Sq-ft,Less than 5 years,"This is a Good 1 bhk available for rent in GRC Subiksha. Contact for more You can explore this 1 BHK flat on rent in Sarjapur Road Bangalore. This 1 BHK flat can be availed at the rental price of ₹25,000. The apartment is on the 3 floor, has a covered area of 605 sqft with 1 bathrooms and 1 balcony. This property includes 5 floor and provides Kids play area benefits. This property offers power back up, reserved parking, security, service/goods lift, air conditioned, intercom facility, ro water system. Visit the flat at Sy no.38/1&38/2Choodasandra Village, Sarjapura Hobli, Anekal TalkBangalore, Choodasandra, Bengaluru.",25000,75000,,41,1,,No,No,No,"Air Conditioned, Laundry Service, Jogging and Strolling Track, Outdoor Tennis Courts",True,True,Agent,56,Immediately,2026-04-11T23:45:21.000Z,Yesterday,True
cdLN9z0AlrNzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Rent-maithri-Layout-in-Bangalore&id=4d423832333434353639,2026-04-19 11:31:21,12.989378,77.757795,,Maithri Layout,1a.,19210|Kadugodi Bus Stop,,,Apartment,Semi-Furnished,2,4,East,550,Sq-ft,Less than 5 years,"Akshaya Krupa 1BHK for Rent Location Whitefield, Maithri Layout Available From 15th December Property Details 1BHK Lift Power Backup CCTV Security Good ventilation Prime residential location Rent DetailsRent 21500Maintenance 1500If rent amount is different, tell me Ill update",21800,80000,1500,40,1,,No,No,No,,True,True,Agent,98,Immediately,2026-04-11T23:45:22.000Z,Yesterday,True
9W4vhVQr8gpzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-560-Sq-ft-Multistorey-Apartment-FOR-Rent-RMV-Extension-in-Bangalore&id=4d423833393430343331,2026-04-19 11:31:21,13.04494647,77.57733785,,RMV Extension,"Bangalore, Karnataka",19206|Janata Bazaar,,,Apartment,Semi-Furnished,1,5,East,560,Sq-ft,5 to 10 years,"A wellmaintained and comfortable 1 BHK flat is available for rent in the prime residential area of Sanjaynagar, near RMV 2nd Stage. Ideal for working professionals or small families looking for a peaceful and wellconnected neighborhood.",16500,80000,1200,29,1,1 Covered,No,No,No,,False,True,Agent,90,Immediately,2026-04-11T23:45:23.000Z,Yesterday,True
DyKvVmTzeYhzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/2-BHK-850-Sq-ft-Multistorey-Apartment-FOR-Rent-BTM-Layout-in-Bangalore&id=4d423833393534313937,2026-04-19 11:31:21,12.91647778,77.61007946,,BTM Layout,"Gf, Hulimavu, Bengaluru, Karnataka 560076","19210|BTM Layout Metro Station, 19210|Kranthiveera Sangolli Rayanna Railway Station, 19201|Shoppers Stop, 19201|Nexus Vega City Mall, 19202|Wisdom Public School, 19202|Adarsha Education Society School, 19203|LIFE CARE HOSPITAL-LCH,BTM LAYOUT, 19203|Fortis Healthcare, 19206|MH Fashion Bazaar, 19206|Elegance Mantri Mall",560076,,Apartment,Semi-Furnished,Ground,4,,850,Sq-ft,Less than 5 years,"You can explore this 2 BHK flat on rent in BTM Layout Bangalore. The flat is available for rent at a competitive amount of ₹24,000. The apartment is located at Gf, Hulimavu, Bengaluru, Karnataka 560076, BTM Layout, Bangalore - South, Karnataka.",24000,60000,0,28,2,,No,No,No,,True,True,Agent,63,Immediately,2026-04-12T23:45:21.000Z,Today,True
llNn3oOVQmJzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-646-Sq-ft-Multistorey-Apartment-FOR-Rent-Bagaluru-in-Bangalore&id=4d423832333039383837,2026-04-19 11:31:21,13.13235055,77.66755368,,Bagaluru,"Bagalur Rd, Near St. Francis School, Gummanahalli, Bangalore, Karnataka","19210|Bagalur Cross Bus Stop, 19201|Kiadb It Tech Park, 19202|Govt High School Bagalur, 19202|Achutha Institute of Technology Bangalore, 19203|Manasa Hospital, 19203|Government Hospital Bagalur",,,Apartment,Semi-Furnished,10,21,North,646,Sq-ft,New Construction,"A beautiful 1 BHK flat is available for rent in Bagaluru. The apartment is available at an affordable rental price of ₹23,000. Live in this lovely flat and get access to various useful facilities such as 1 Wardrobe. Located on the 10 floor, the flat has 1 bathrooms, 1 balcony in carpet area of 500 sqft. The property includes 1 Covered parking. This unit features power back up, reserved parking, security. Find this apartment at Bagalur Rd, Near St. Francis School, Gummanahalli, Bangalore, Karnataka.",23000,200000,2000,36,1,1 Covered,Yes,No,No,Jogging and Strolling Track,True,True,Agent,98,Immediately,2026-04-10T23:45:19.000Z,"Apr 11, '26",True
YzyYHc1f76NzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/2-BHK-999-Sq-ft-Multistorey-Apartment-FOR-Rent-Bagalur-Main-Road-in-Bangalore&id=4d423833363933373335,2026-04-19 11:31:21,13.1215691,77.62140164,,Bagalur Main Road,"Bagalur Main Road,Bangalore",19202|Vinayaka Public School,,,Apartment,Semi-Furnished,9,20,,999,Sq-ft,New Construction,"Find 2 BHK flat for rent in Bagalur Main Road Bangalore. You can get this flat at monthly rent of ₹23,000. Located on the 9 floor, the flat has 2 bathrooms, 2 balcony in carpet area of 646 sqft. This unit is designed with power back up, reserved parking, security. You can visit the flat at Bagalur Rd, Near St. Francis School, Gummanahalli, Bangalore, Karnataka.",23000,120000,4,23,2,,Yes,No,No,Jogging and Strolling Track,True,True,Agent,78,Immediately,2026-04-12T23:45:20.000Z,Today,True
