listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
Mf1YQgJso+ZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1600-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-37-in-Chandigarh&id=4d423834323732393937,2026-04-19 13:51:15,30.7378169,76.7495233,,Sector-37,"Chandigarh, Chandigarh",,,,Builder Floor Apartment,Furnished,3,3,East,1600,Sq-ft,2013,"Builder floor apartment is available for rent. It has a covered area of 1600 sq-ft, it is 1 BHK apartment. Please contact for more details. You can avail the 1 BHK flat for rent in the well-known location of Sector 37. The apartment is available at an affordable rental price of ₹40,037. The apartment is on the 3 floor, has a carpet area of 700 sqft with 1 bathrooms and 2 balcony. The property features power back up, reserved parking, security, air conditioned, ro water system. The apartment is located at Sector 37, Chandigarh, Chandigarh.",40037,,40000,25,1,,Yes,No,No,"Air Conditioned, RO Water System",True,True,Agent,47,Immediately,2026-04-17T01:31:44.000Z,"Apr 17, '26",True
Pf1CLhJVHYlzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-9-in-Chandigarh&id=4d423736383934333233,2026-04-19 13:51:15,30.7466677,76.7942403,,Sector 9,"Chandigarh, Chandigarh","19202|Carmel Convent, 19202|Chitkara University",,,Apartment,Furnished,1,2,North - West,,,15 to 20 years,"Brand New Luxurious Built Triple Storey with Lift Find this 1 BHK rental flat in Sector 9 Chandigarh. Located on the 1 floor, the flat comprises 1 bathrooms, 1 balcony, and has a carpet area of 600 sqft. This unit features air conditioned. Visit the flat at Sector 9, Chandigarh, Chandigarh.",45000,,,,1,,No,No,No,Air Conditioned,True,True,Agent,48,Immediately,2026-04-04T05:04:59.000Z,"Apr 04, '26",True
P5TXoQBAoe9zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-788-Sq-ft-Multistorey-Apartment-FOR-Rent-Zirakpur-in-Chandigarh&id=4d423832343936373135,2026-04-19 13:51:15,30.656788,76.82119203,,Zirakpur,K Tower,"19201|Mk Technology Park, 19202|St. Xaviers International School, 19202|V.B. International Senior Secondary School, 19206|Chandigarh Citi Centre, 19206|Tricity Square",,,Apartment,Furnished,2,8,North - East,788,Sq-ft,Less than 5 years,"Property Description This is 1bhk furnished Flat Available for rent on PAtiala Road Emenities in society Parks, Swimming Pool, club house, security cctv cameras jogging track, power backup in common area Emenities in Flat 3 Split Ac, 3 Gyser, 1 Ro, 1 Chimney, 4 Celling Fan, Tube lights Led Bulbs, Curtain Roads, modular kitchen in Flat Emenities Near to Society malls, gym schools, supermarkets etc",27000,27000,0,34,2,1 Covered,Yes,No,No,"Service/Goods Lift, Visitor Parking",False,True,Agent,100,Immediately,2026-04-16T23:45:22.000Z,"Apr 17, '26",True
AJMnRCD7BplzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-2300-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-27-in-Chandigarh&id=4d423834323030373331,2026-04-19 13:51:15,30.7231259,76.7985669,,Sector 27,"Chandigarh, Chandigarh","19202|Bhavan Vidyalaya, 19202|Sri Aurobindo School Of Integral Education",,,Builder Floor Apartment,Furnished,1,2,East,2300,Sq-ft,10 to 15 years,"Beautiful 1 BHK furnished apartment in Sector 27 Chandigarh. 1 BHK apartment is available on rent in Sector 27 Chandigarh right away. The rent of the 1 BHK flat is ₹26,000. Get access to smart facilities such as 1 Wardrobe, 1 Bed, Fridge, 1 AC and Sofa simply by choosing this flat for rent. The flat is on the 1 floor and includes 1 bathrooms, 1 balcony with a carpet area of 2250 sqft. The property includes 1 Open parking. This property offers reserved parking, security. Visit the flat at Sector 27, Chandigarh, Chandigarh.",26000,26000,1,11,1,1 Open,No,No,No,,True,True,Agent,88,Immediately,2026-04-11T13:33:51.000Z,"Apr 11, '26",True
YCJw717gRDJzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1200-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-20-in-Chandigarh&id=4d423833383833323833,2026-04-19 13:51:15,30.7213417,76.7812596,,Sector 20,"Chandigarh, Chandigarh",,,,Builder Floor Apartment,Furnished,1,2,East,1200,Sq-ft,5 to 10 years,"Newly renovated independent fully furnished 1 bedroom attached bathroom, drawing, dinning, modular kitchen. A beautiful 1 BHK flat is available for rent in Sector 20. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹26,000. Located on the 1 floor, the flat comprises 1 bathrooms, 1 balcony, and has a carpet area of 1000 sqft. The apartment comes furnished with reserved parking, air conditioned, ro water system. The flat can be visited at Sector 20, Chandigarh, Chandigarh.",26000,26000,,22,1,,No,No,No,"Air Conditioned, RO Water System",True,True,Agent,68,Immediately,2026-03-20T15:08:38.000Z,"Mar 20, '26",True
bNPULsfj+rlzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Chandigarh&id=4d423733303430303835,2026-04-19 13:51:15,,,,Swarn,"Chandigarh, Chandigarh",,160036,,Apartment,Furnished,1,1,,550,Sq-ft,,"If you are planning to rent a flat, you can consider this 1 BHK flat situated in the prime location of H No 151 Sector 36 A Chandigarh 160036. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹27,000. This is a no-brokerage flat because the owner has posted the ad on this 1 BHK apartment.",27000,27000,500,49,1,,No,No,No,,False,False,Owner,51,Immediately,2026-04-12T13:47:57.000Z,"Apr 12, '26",True
rPlJB6YolWZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1500-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-33-in-Chandigarh&id=4d423834323033303931,2026-04-19 13:51:15,30.7137743,76.769673,,Sector-33,"Chandigarh, Chandigarh","19201|Graycell Technologies, 19202|Kendriya Vidyalya Sangathan, 19202|Paragon Convent School, 19203|Landmark Hospital, 19203|Ayu Health Hospital",,,Builder Floor Apartment,Furnished,3,3,East,1500,Sq-ft,2013,"fully fur 1 bedroom drawing dining If you are planning to rent a flat, you can consider this 1 BHK flat situated in the prime location of Sector 33. The flat is available for rent at a competitive amount of ₹26,033. The apartment is on the 3 floor, has a carpet area of 500 sqft with 1 bathrooms and 2 balcony. This flat is fitted with power back up, security, air conditioned, ro water system. The flat can be visited at Sector 33, Chandigarh, Chandigarh.",26033,26000,,17,1,,No,No,Yes,"Air Conditioned, RO Water System",True,True,Agent,49,Immediately,2026-04-12T03:58:48.000Z,"Apr 12, '26",True
ZqFShxB7U/FzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1200-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-16-in-Chandigarh&id=4d423536333430383835,2026-04-19 13:51:15,30.7464418,76.7783748,,Sector 16,"Chandigarh, Chandigarh",,,,Builder Floor Apartment,Semi-Furnished,1,2,North - East,1200,Sq-ft,Less than 5 years,"If you are searching a 1 BHK apartment for rent in Sector 16, check out this amazing rental flat. This 1 BHK flat is available at the reasonable rent amount of ₹30,000. The flat is on the 1 floor and includes 1 bathrooms, 1 balcony with a carpet area of 1200 sqft. This property offers security. Find this apartment at Sector 16, Chandigarh, Chandigarh.",30000,,,25,1,,No,No,No,,True,True,Agent,66,Immediately,2026-04-03T03:57:06.000Z,"Apr 03, '26",True
/JygxO47QClzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-2000-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-33-in-Chandigarh&id=4d423834313730373533,2026-04-19 13:51:15,30.7137743,76.769673,,Sector-33,"Chandigarh, Chandigarh","19201|Graycell Technologies, 19202|Kendriya Vidyalya Sangathan, 19202|Paragon Convent School, 19203|Landmark Hospital, 19203|Ayu Health Hospital",,,Builder Floor Apartment,Furnished,2,3,East,2000,Sq-ft,2013,"fully furnished 1 bedroom drawing dining kitchen washroom Check out this newly constructed 1 BHK flat on rent in the prime location of Sector 33 Chandigarh. This 1 BHK flat can be availed at the rental price of ₹26,033. The apartment is on the 2 floor, has a carpet area of 500 sqft with 1 bathrooms and 2 balcony. This property offers power back up, air conditioned, ro water system. Visit the apartment at Sector 33, Chandigarh, Chandigarh.",26033,26000,,13,1,,No,No,No,"Air Conditioned, RO Water System",True,True,Agent,47,Immediately,2026-04-10T01:09:43.000Z,"Apr 10, '26",True
LRkgSZlT5ltzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-400-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-33-in-Chandigarh&id=4d423834303334323739,2026-04-19 13:51:15,30.7137743,76.769673,,Sector-33,"Chandigarh, Chandigarh","19201|Graycell Technologies, 19202|Kendriya Vidyalya Sangathan, 19202|Paragon Convent School, 19203|Ayu Health Hospital, 19203|Landmark Hospital",,,Builder Floor Apartment,Furnished,2,3,East,,,2013,"fully furnished 1 bedroom hall kitchen washroom Check out this newly constructed 1 BHK flat on rent in the prime location of Sector 33 Chandigarh. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹26,033. The flat is located on the 2 floor which includes 1 bathrooms, 2 balcony, and covers a carpet area of 400 sqft. This flat is fitted with power back up, security, air conditioned, ro water system. The address is Sector 33, Chandigarh, Chandigarh.",26033,26000,,,1,,No,No,Yes,"Air Conditioned, RO Water System",True,True,Agent,48,Immediately,2026-04-02T06:44:46.000Z,"Apr 02, '26",True
