listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
TE6YqnxEO8lzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-700-Sq-ft-Builder-Floor-Apartment-FOR-Rent-in-Chennai&id=4d423732353137393635,2026-04-19 13:45:19,,,,Maidhily Venktesh,"Chennai, Tamil Nadu",,,,Builder Floor Apartment,Semi-Furnished,Ground,2,South,700,Sq-ft,5 to 10 years,in between Mandaveli bus terminus and MRTS You can explore this 1 BHK flat on rent in Thiruvalluvar Pet Chennai. This unit is designed with air conditioned. You can find the 1 BHK flat without any brokerage.,,100000,1000,286,,,No,No,No,Air Conditioned,False,False,Owner,67,Immediately,2026-04-12T17:45:17.000Z,"Apr 12, '26",True
eCJQsZkPcaFzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Perungudi-in-Chennai&id=4d423732353836383131,2026-04-19 13:45:19,12.9675450442562,80.2442797927707,,Perungudi,"Chennai, Tamil Nadu","19210|Taramani Metro Station, 19201|Prince Infocity, 19201|JJ Complex, 19202|Dr. Ambedkar Law University, 19203|Apollo Speciality Hospital, 19206|Krishna Shopping Mall - Kandanchavadi, 19206|Gokulam Shopping Center",,,Apartment,Semi-Furnished,2,2,,600,Sq-ft,,"You can avail the 1 BHK flat for rent in the well-known location of Perungudi. The 1 BHK apartment is available at a reasonable rent of ₹8 Lac. The address is Perungudi, Chennai - South, Tamil Nadu. This is a no-brokerage flat because the owner has posted the ad on this 1 BHK apartment.",800000,,,1333,1,,No,No,No,,False,False,Owner,0,Immediately,2026-02-06T21:33:02.000Z,"Feb 07, '26",True
wNaoFR0WzJRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-505-Sq-ft-Multistorey-Apartment-FOR-Rent-Madipakkam-in-Chennai&id=4d423833343238323539,2026-04-19 13:45:19,12.9658547351345,80.2020908058975,,Madipakkam,"Chennai, Tamil Nadu","19202|St Paul Bright Matric School, 19202|St. Thomas Matriculation Higher Secondary School, 19203|Sakthy Nursing Home, 19203|Dks Hospital, 19206|Ck Selvam Super Market, 19206|Iitm Shopping Centre",,,Apartment,Unfurnished,2,2,East,,,5 to 10 years,Check out this newly constructed 1 BHK flat on rent in the prime location of Madipakkam Chennai. The rent of the 1 BHK flat is ₹5.5 Lac. This 1 BHK rental flat comes with no brokerage fees.,550000,,,,1,,No,No,No,,False,False,Owner,37,Immediately,2026-02-16T08:10:00.000Z,"Feb 16, '26",True
vLkvAdhJrl9zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sithalapakkam-in-Chennai&id=4d423833373836383535,2026-04-19 13:45:19,12.8846331362998,80.1872518913009,,Sithalapakkam,valluvar nagar,"19210|Tambaram East Railway Station, 19202|Mayfield School, 19202|Jeevan Health Centre, 19203|Rajan Hospital, 19203|H&M Hospital",,,Builder Floor Apartment,Unfurnished,1,1,,,,New Construction,"1 BHK apartment is available on rent in Sithalapakkam Chennai right away. Available at a rental price of ₹3 Lac, this 1 BHK flat is worth considering. This flat is located at valluvar nagar, Sithalapakkam, Chennai - South, Tamil Nadu. This is a no-brokerage flat because the owner has posted the ad on this 1 BHK apartment.",300000,200000,,,1,,No,No,No,,False,False,Owner,33,Immediately,2026-03-15T02:31:48.000Z,"Mar 15, '26",True
qnPMVf1ERBRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Ashok-Nagar-West-Jafferkhanpet-in-Chennai&id=4d423731333635313835,2026-04-19 13:45:19,13.0297875026446,80.2078265466121,,Ashok Nagar West Jafferkhanpet,Kanni street,,,,Apartment,Unfurnished,1,3,East,1200,Sq-ft,5 to 10 years,"Multistorey apartment is available for rent. It is a good location property. Please contact for more details. 1 BHK flat is available for rent in Ashok Nagar West Jafferkhanpet immediately. The rent of the 1 BHK flat is ₹8 Lac. This unit is designed with security. Find this apartment at 4&5, Pillayar Koil St, Ashok Nagar, Chennai, Tamil Nadu. There are no brokerage fees on this 1 BHK multistorey apartment.",800000,800000,1500,667,1,,No,No,No,,False,False,Owner,69,Immediately,2026-03-08T21:33:23.000Z,"Mar 09, '26",True
u6B0ZyNYNspzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Chennai&id=4d423632373735363939,2026-04-19 13:45:19,,,,dr riaz Rahim,"59, 5th street, pandian nagar, vettuvankani, chennai 115",,,,Apartment,Semi-Furnished,Ground,2,,750,Sq-ft,5 to 10 years,"A beautiful 1 BHK flat is available for rent in R R. Located on the Ground floor, the flat has 1 bathrooms, 1 balcony in carpet area of 650 sqft. This 1 BHK rental flat comes with no brokerage fees.",3650000,25000,850,4867,1,,No,No,No,,False,False,Owner,38,Immediately,2026-04-13T21:32:05.000Z,"Apr 14, '26",True
g1E0JikGymZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Perambur-in-Chennai&id=4d423539313031353237,2026-04-19 13:45:19,13.1182296,80.2375836,,Perambur,"Chennai, Tamil Nadu","19210|Perambur Railway Station, 19210|Perambur Carriage Works Railway Station, 19201|Spectrum The Grand Venus Mall, 19201|The Mall Of Madras, 19202|Government High School - Perambur, 19202|Railway Mixed Higher School, 19203|Meenakshi Hospital, 19206|S2 Cinemas Spectrum Mall, 19206|Spectrum Mall",,,Builder Floor Apartment,Semi-Furnished,2,2,,600,Sq-ft,,"You can avail the 1 BHK flat for rent in the well-known location of Perambur. You can visit the flat at Perambur, Chennai - North, Tamil Nadu. The owner has posted this 1 BHK flat for rent, so the brokerage fees is zero on this multistorey apartment.",800000,,,1333,1,,No,No,No,,False,False,Owner,41,Immediately,2026-04-01T21:32:29.000Z,"Apr 02, '26",True
xGWB4PzSi7lzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-325-Sq-ft-Builder-Floor-Apartment-FOR-Rent-in-Chennai&id=4d423732373631353237,2026-04-19 13:45:19,,,,Chandran,"Chennai, Tamil Nadu",,,,Builder Floor Apartment,Unfurnished,1,1,,,,,"Builder floor apartment is available for rent. It Carpet/Built-up area of 325 sq-ft, it is a good location property. Please contact for more details. Check out this newly constructed 1 BHK flat on rent in the prime location of Sri balaji nagar sennerkuppum, Chennai Chennai. This 1 BHK flat is directly posted by the owner, so you don't need to pay any brokerage on this property.",400000,,,,1,,No,No,No,,False,False,Owner,29,Immediately,2026-02-17T13:58:00.000Z,"Feb 17, '26",True
60pmr3OqwWZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1200-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Nandanam-in-Chennai&id=4d423735313031373439,2026-04-19 13:45:19,13.0235477580578,80.2305448704705,,Nandanam,"Chennai, Tamil Nadu","19210|Saidapet Metro Station, 19202|Government HSS, 19202|Model Higher Secondary School, 19203|Venkteswara Hospital, 19203|Apollo Speciality Hospital, 19206|Subway",,,Builder Floor Apartment,Semi-Furnished,Ground,3,,1200,Sq-ft,,"Grab the chance to own this affordable 1 BHK flat for rent in the Nandanam area. The full address of the apartment is Nandanam, Chennai - Central, Tamil Nadu. This 1 BHK rental flat comes with no brokerage fees.",1000000,,,833,1,,No,No,No,,False,False,Owner,0,Immediately,2026-03-10T05:08:21.000Z,"Mar 10, '26",True
b8llW6ZcYK1zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Chennai&id=4d423730373532313333,2026-04-19 13:45:19,,,,Thamburaj X,"41,Narmadai street, EVP Prabhu avenue, Ex_2,paraniputter",,,,Apartment,Unfurnished,1,2,East,800,Sq-ft,5 to 10 years,"Free Air , Free light sight,super house You can explore this 1 BHK flat on rent in kalki illam Chennai. The apartment is on the 1 floor, has a carpet area of 800 sqft with 2 bathrooms and 2 balcony. There are no brokerage fees on this 1 BHK multistorey apartment.",500000,0,500,625,2,,No,No,No,,False,False,Owner,47,Immediately,2026-03-11T17:32:29.000Z,"Mar 11, '26",True
