listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
nd6M42RnSMtzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-987-Sq-ft-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar&id=4d423831393731313939,2026-04-19 13:51:41,23.1698784,72.6232479,,Kudasan,"Near Shyam Shrushti, Por-Kudasan Road Aawaass Rd, Urjanagar 1, Kudasan, Gandhinagar, Gujarat",,,,Apartment,Unfurnished,,,East,987,Sq-ft,New Construction,"1 bhk falt full furnished, east facing, luxurys apartment, best locality. Good location properties in gandhinagar Grab the chance to own this affordable 1 BHK flat for rent in the Kudasan area. The 1 BHK apartment is available at a reasonable rent of ₹16,000. Some added-on facilities available with the flat are 3 Wardrobe, 1 Bed, 1 TV, Fridge, 1 AC, Sofa, Washing Machine, Dining Table and Gas Connection. There is also facility of 2 Covered parking. This property offers power back up, reserved parking, security. Visit the apartment at Near Shyam Shrushti, Por-Kudasan Road Aawaass Rd, Urjanagar 1, Kudasan, Gandhinagar, Gujarat .",16000,14000,200,16,1,2 Covered,Yes,No,No,Jogging and Strolling Track,False,True,Agent,95,Immediately,2026-04-16T23:45:21.000Z,"Apr 17, '26",True
QmhVWyNHsdNzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-693-Sq-ft-Multistorey-Apartment-FOR-Rent-Sargasan-in-Gandhinagar&id=4d423833373631393535,2026-04-19 13:51:41,23.1848805,72.615856,,Sargasan,"Sargasan,Gandhinagar",,,,Apartment,Furnished,1,1,,693,Sq-ft,5 to 10 years,"1 bhk flat for rent in sargasan gandhinagar 5 min distance from tcs and 15 min distance from gift city for more information please contact usthank you. You can explore this 1 BHK flat on rent in Sargasan Gandhinagar. You can get this flat at monthly rent of ₹18,000. 1 Wardrobe, 1 Bed, 1 TV, Fridge, 1 AC, Sofa, Washing Machine, Dining Table and Gas Connection are some of the additional amenities available with the apartment. The flat is located on the 1 floor which includes 1 bathrooms, 1 balcony, and covers a covered area of 693 sqft. This building features 1 floor and provides Early Learning Centre, Kids Club, Kids Play Pool With Water Slides facilities. The apartment comes furnished with power back up, reserved parking, security. Visit the flat at F P No 97, Off S G Highway, Sargasan, Gandhinagar.",18000,36000,,26,1,,No,No,No,,False,True,Agent,73,Immediately,2026-04-17T23:45:21.000Z,Yesterday,True
BzupYVucGbhzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-666-Sq-ft-Multistorey-Apartment-FOR-Rent-Sargasan-in-Gandhinagar&id=4d423834303639303835,2026-04-19 13:51:41,23.1848805,72.615856,,Sargasan,capital flora sargasan,,,,Apartment,Furnished,,,North,666,Sq-ft,5 to 10 years,"The project is ready to move, allowing for immediate possession.Configurations It primarily consists of 1 BHK apartments and some 2 BHK units.Infrastructure The residential building typically consists of 5 to 7 floors.Total Units There are approximately 180 units within the project.RERA Approval The project is legally approved and registered under RERA Registration",20000,40000,0,30,2,,No,No,No,,False,True,Agent,98,Immediately,2026-04-18T23:45:34.000Z,Today,True
zgq079gQ7s5zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-670-Sq-ft-Multistorey-Apartment-FOR-Rent-Sargasan-in-Gandhinagar&id=4d423833373831353437,2026-04-19 13:51:41,23.1848805,72.615856,,Sargasan,"Sargasan, Gandhinagar, Gujarat",,,,Apartment,Furnished,5,8,East,670,Sq-ft,2010,"1 BHK flat is available for rent in Sargasan immediately. The multistorey apartment is available at rent of ₹20,000. Live in this lovely flat and get access to various useful facilities such as 1 Wardrobe, 2 Bed, 1 TV, Fridge, 1 AC, Washing Machine, Dining Table and Gas Connection. Located on the 5 floor, the flat comprises 2 bathrooms, 1 balcony, and has a carpet area of 352 sqft. 1 Covered parking space is also available. The apartment is equipped with power back up, reserved parking, security. The address is Sargasan, Gandhinagar, Gujarat, Sargasan, Gandhinagar, Gujarat.",20000,40000,0,30,2,1 Covered,No,No,No,,False,True,Agent,98,Immediately,2026-04-18T23:45:33.000Z,Today,True
f/6Xp9jHdkBzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-74-Sq-yrd-Multistorey-Apartment-FOR-Rent-Sargasan-in-Gandhinagar&id=4d423833333835323431,2026-04-19 13:51:41,23.1848805,72.615856,,Sargasan,Capital Flora,,,,Apartment,Furnished,3,5,East,74,Sq-yrd,5 to 10 years,"Main road location society. Transportation is very good near by highway If you are searching a 1 BHK apartment for rent in Sargasan, check out this amazing rental flat. The multistorey apartment is available at rent of ₹18,000. You will also find 1 Open parking facility. The apartment is equipped with security, intercom facility. The flat can be visited at Sargasan, Gandhinagar, Gujarat .",18000,36000,1500,27,1,1 Open,Yes,No,No,"Intercom Facility, Jogging and Strolling Track",True,True,Agent,100,Immediately,2026-04-16T23:45:22.000Z,"Apr 17, '26",True
3QSOMjl9dzhzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-120-Sq-yrd-Multistorey-Apartment-FOR-Rent-Gandhinagar-in-Gandhinagar&id=4d423831323539323433,2026-04-19 13:51:41,23.0395677,72.5660045,,Gandhinagar,"Gandhinagar, Gujarat",,,,Apartment,Furnished,3,5,North - East,120,Sq-yrd,Less than 5 years,"best society If you are planning to rent a flat, you can consider this 1 BHK flat situated in the prime location of Gandhinagar. The apartment is available at an affordable rental price of ₹18,000. The flat is on the 3 floor and includes 1 bathrooms, 2 balcony with a carpet area of 70 sqyrd. The flat comes with reserved parking, security, air conditioned. The apartment is located at Nr. Radiant School Of Science, Mahatma Gandhi Road, Sargasan, Gandhinagar, Ahmedabad..",18000,18000,0,17,1,,Yes,No,No,"Air Conditioned, Conference Room",False,True,Agent,78,Immediately,2026-03-09T11:34:38.000Z,"Mar 09, '26",True
OyPFXlH0FJVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-80-Sq-ft-Multistorey-Apartment-FOR-Rent-Sargasan-in-Gandhinagar&id=4d423834303439393131,2026-04-19 13:51:41,23.1848805,72.615856,,Sargasan,nano city 1 sargasan near by holiday maal and gurudwara,,,,Apartment,Furnished,3,5,East,80,Sq-ft,Less than 5 years,"well furniture property family and bachelors allows You can avail the 1 BHK flat for rent in the well-known location of Sargasan. The apartment is available at an affordable rental price of ₹17,000. The apartment is on the 3 floor, has a carpet area of 80 sqft with 1 bathrooms and 1 balcony. The property consists of 5 floor and offers Early Learning Centre, Kids Club, Kids Play Pool With Water Slides conveniences. This unit features power back up, reserved parking, security, service/goods lift, visitor parking. Visit the flat at F P No 97, Off S G Highway, Sargasan, Gandhinagar.",17000,,,212,1,,Yes,No,No,"Service/Goods Lift, Laundry Service, Banquet Hall, Outdoor Tennis Courts",True,True,Agent,53,Immediately,2026-04-03T06:05:49.000Z,"Apr 03, '26",True
+YEmgJMvMxlzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-110-Sq-yrd-Multistorey-Apartment-FOR-Rent-Infocity-in-Gandhinagar&id=4d423735343339343333,2026-04-19 13:51:41,23.194097,72.629751,,Infocity,Sector 2.,,,,Apartment,Semi-Furnished,2,4,East,110,Sq-yrd,5 to 10 years,"Multistorey apartment is available for rent. Available for rent only for boys. 1 BHK flat is available for rent in Infocity immediately. This 1 BHK flat can be availed at the rental price of ₹13,000. The flat is on the 2 floor and includes 1 bathrooms, 1 balcony with a carpet area of 110 sqyrd. There is also facility of 1 Open parking. This unit features reserved parking. Find this apartment at Sector 2., Infocity, Gandhinagar, Gujarat.",13000,12000,0,13,1,1 Open,No,No,No,,True,True,Agent,98,Immediately,2026-04-07T06:11:59.000Z,"Apr 07, '26",True
vomDecVWqOVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-90-Sq-yrd-Multistorey-Apartment-FOR-Rent-Sargasan-in-Gandhinagar&id=4d423833373230383037,2026-04-19 13:51:41,23.1848805,72.615856,,Sargasan,"Gandhinagar, Gujarat",,,,Apartment,Furnished,1,5,North - East,90,Sq-yrd,5 to 10 years,"Find 1 BHK flat for rent in Sargasan Gandhinagar. The 1 BHK apartment is available at a reasonable rent of ₹20,000. Located on the 1 floor, the flat comprises 2 bathrooms, 1 balcony, and has a covered area of 90 sqyrd. This unit is designed with power back up, reserved parking, security. The full address of the apartment is Sargasan, Gandhinagar, Gujarat .",20000,40000,,25,2,,Yes,No,No,Jogging and Strolling Track,False,True,Agent,68,Immediately,2026-03-10T11:45:28.000Z,"Mar 10, '26",True
kcC7LLpSxkRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Gandhinagar-in-Gandhinagar&id=4d423830373331383931,2026-04-19 13:51:41,23.0395677,72.5660045,,Gandhinagar,sthapan 2  near radiant school sargasan,,,,Apartment,Semi-Furnished,2,5,East,650,Sq-ft,5 to 10 years,"ready to move for family best Find 1 BHK flat for rent in Gandhinagar Gandhinagar. The apartment is available at an affordable rental price of ₹13,500. Located on the 2 floor, the flat comprises 1 bathrooms, 2 balcony, and has a carpet area of 600 sqft. This flat is fitted with reserved parking, security. Visit the flat at Nr. Radiant School Of Science, Mahatma Gandhi Road, Sargasan, Gandhinagar, Ahmedabad.. This is a no-brokerage flat, as the owner is offering this 1 BHK flat on rent.",13500,28000,1500,21,1,,No,No,No,,False,False,Owner,80,Immediately,2026-04-13T21:32:15.000Z,"Apr 14, '26",True
