listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
crmvAJMBMBBzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-460-Sq-ft-Multistorey-Apartment-FOR-Rent-Delta-1-in-Greater-Noida&id=4d423833343336333635,2026-04-19 13:48:45,28.4827948604858,77.5258743205762,,Delta 1,kaveri city centre delta 1 near metro station near expo mart,"19210|Delta 1|5 minutes, 19210|Delta 1 Metro Station, 19201|Satyam Complex, 19203|Green City Hospital, 19203|Green City Hospital",,,Apartment,Furnished,9,12,,460,Sq-ft,New Construction,"Find 1 BHK flat for rent in Delta 1 Greater Noida. The 1 BHK apartment is available at a reasonable rent of ₹48,000. The flat is on the 9 floor and includes > 10 bathrooms, > 10 balcony with a carpet area of 454 sqft. The building has 12 floor and offers Kids play area amenities. The flat comes with security, service/goods lift. The full address of the apartment is Plot No. C-06, Delta-1, Greater Noida , Gautam Budha Nagar. This is a no-brokerage flat because the owner has posted the ad on this 1 BHK apartment.",48000,48000,0,104,> 10,,Yes,No,No,"Service/Goods Lift, Internet/Wi-Fi Connectivity, Banquet Hall",False,False,Owner,65,Immediately,2026-02-16T19:14:11.000Z,"Feb 17, '26",True
rc+tO/wqisZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1370-Sq-ft-Multistorey-Apartment-FOR-Rent-Jaypee-Greens-in-Greater-Noida&id=4d423736303033333937,2026-04-19 13:48:45,28.470013,77.523315,,Jaypee Greens,"Block B, Jaypee Greens, Greater Noida, Uttar Pradesh",19202|Jaypee Public School,,,Apartment,Semi-Furnished,18,21,North,1370,Sq-ft,10 to 15 years,"Crescent court 1bhk luxury flat in jaypee greens. Grab the chance to own this affordable 1 BHK flat for rent in the Jaypee Greens area. Get access to smart facilities such as 2 AC and 1 Wardrobe simply by choosing this flat for rent. 1 Covered parking space is also available. The building comprises 21 floor and includes Early Learning Centre, Guest Accommodation features. This property offers power back up, reserved parking, security. The address is Block B, Jaypee Greens, Greater Noida, Uttar Pradesh.",50000,100000,7000,36,1,1 Covered,Yes,No,No,Jogging and Strolling Track,False,True,Agent,100,Immediately,2026-03-11T11:15:25.000Z,"Mar 11, '26",True
RbauNSvWvKxzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-710-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-27-in-Greater-Noida&id=4d423833393039313633,2026-04-19 13:48:45,28.3903979782804,77.5243049269765,,Sector 27,"Sector 27,Greater Noida",,,,Apartment,Furnished,1,20,North - East,710,Sq-ft,5 to 10 years,"1 BHK flat is available for rent in Sector 27 immediately. ₹30,000 is the monthly rent of this 1 BHK flat. Some premium add-on facilities bundled with the flat are 1 Wardrobe, 1 Bed, 1 TV, Fridge, 2 AC, Sofa, Washing Machine, Dining Table and Gas Connection. The flat is on the 1 floor and includes 1 bathrooms, 1 balcony with a carpet area of 500 sqft. The property includes 1 Covered parking. The apartment comes furnished with power back up, reserved parking, security, service/goods lift, visitor parking, ro water system. Visit the apartment at Sector 27,Greater Noida, Sector 27, Greater Noida, Delhi NCR.",30000,60000,4,42,1,1 Covered,Yes,No,No,"Service/Goods Lift, Laundry Service, RO Water System, Jogging and Strolling Track",True,True,Agent,98,Immediately,2026-03-23T08:45:04.000Z,"Mar 23, '26",True
GF2ZQjZWlfJzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-610-Sq-ft-Multistorey-Apartment-FOR-Rent-Chi-5-in-Greater-Noida&id=4d423832393937313739,2026-04-19 13:48:45,28.4311896463599,77.5056464323366,,Chi 5,on call,,,,Apartment,Furnished,5,16,North,610,Sq-ft,5 to 10 years,"1 BHK flat is available for rent in Chi 5 immediately. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹26,000. Located on the 5 floor, the flat comprises 1 bathrooms, 1 balcony, and has a covered area of 610 sqft. You will also find 1 Covered parking facility. The property features power back up, reserved parking, security, service/goods lift, air conditioned, intercom facility, ro water system. This flat is located at Plot No. GH-05 , Sector Chi V , Greater Noida.",26000,1,6000,43,1,1 Covered,No,No,No,"Air Conditioned, Banquet Hall, Bar/Lounge, Jogging and Strolling Track",False,True,Agent,100,Immediately,2026-04-18T23:45:33.000Z,Today,True
kXeHWvm0YrxzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-710-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-27-in-Greater-Noida&id=4d423834303835393939,2026-04-19 13:48:45,28.3903979782804,77.5243049269765,,Sector 27,godrej golf link,,201306,,Apartment,Furnished,10,23,North - East,710,Sq-ft,New Construction,"godre Grab the chance to own this affordable 1 BHK flat for rent in the Sector 27 area. Available at a rental price of ₹35,000, this 1 BHK flat is worth considering. The apartment is on the 10 floor, has a carpet area of 710 sqft with 1 bathrooms and 1 balcony. The property includes 1 Covered parking. The apartment comes furnished with power back up, reserved parking, security, service/goods lift, air conditioned, intercom facility, ro water system. You can visit the flat at REP -1 , Sector 27 , Greater Noida, Noida, Uttar Pradesh 201306.",35000,70000,1,49,1,1 Covered,No,No,No,"Air Conditioned, Banquet Hall, Bar/Lounge, Jogging and Strolling Track",False,True,Agent,95,Immediately,2026-04-05T09:37:11.000Z,"Apr 05, '26",True
fHqVHaQH2OdzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Jaypee-Greens-in-Greater-Noida&id=4d423834323038313937,2026-04-19 13:48:45,28.470013,77.523315,,Jaypee Greens,"Jaypee Greens,Greater Noida",19202|Jaypee Public School,,,Apartment,Furnished,10,20,,650,Sq-ft,New Construction,"You can avail the 1 BHK flat for rent in the well-known location of Jaypee Greens. This 1 BHK flat can be availed at the rental price of ₹30,000. Some premium add-on facilities bundled with the flat are 1 Wardrobe, 1 Bed, 1 TV, Fridge, Microwave, 1 AC, Sofa, Dining Table and Gas Connection. Located on the 10 floor, the flat comprises 1 bathrooms, 1 balcony, and has a carpet area of 550 sqft.",30000,60000,0,46,1,,No,No,No,,False,True,Agent,65,Immediately,2026-04-12T10:56:06.000Z,"Apr 12, '26",True
K1cRLmj/G/ZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Jaypee-Greens-in-Greater-Noida&id=4d423832323637353039,2026-04-19 13:48:45,28.470013,77.523315,,Jaypee Greens,"Greater Noida, Delhi NCR",19202|Jaypee Public School,,,Apartment,Furnished,17,19,,650,Sq-ft,15 to 20 years,"You can avail the 1 BHK flat for rent in the well-known location of Jaypee Greens. The rent of the 1 BHK flat is ₹31,000. The flat is on the 17 floor and includes 1 bathrooms, 1 balcony with a carpet area of 550 sqft. This unit is designed with power back up, reserved parking, security, service/goods lift, air conditioned, visitor parking, intercom facility, ro water system. Visit the flat at Jaypee Greens, Greater Noida, Delhi NCR. The brokerage amount of the 1 BHK apartment is zero.",31000,60000,2600,48,1,,No,No,No,"Air Conditioned, RO Water System, Bar/Lounge, Jogging and Strolling Track",False,False,Owner,60,Immediately,2026-02-21T21:33:28.000Z,"Feb 22, '26",True
MGusa4QPfDxzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-442-Sq-ft-Multistorey-Apartment-FOR-Rent-Delta-1-in-Greater-Noida&id=4d423833383935343335,2026-04-19 13:48:45,28.4827948604858,77.5258743205762,,Delta 1,walking distance from Delta 1 metro station,"19210|Delta 1|5 minutes, 19210|Delta 1 Metro Station, 19201|Satyam Complex, 19203|Green City Hospital, 19203|Green City Hospital",,,Apartment,Furnished,10,16,North - West,442,Sq-ft,New Construction,"If you are planning to rent a flat, you can consider this 1 BHK flat situated in the prime location of Delta 1. The flat is available for rent at a competitive amount of ₹26,000. The flat is located on the 10 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 442 sqft. This property includes 16 floor and provides Kids play area benefits. The residence includes power back up, security, service/goods lift, air conditioned, ro water system. The apartment is located at Plot No. C-06, Delta-1, Greater Noida , Gautam Budha Nagar. There are no brokerage fees on this 1 BHK multistorey apartment.",26000,30000,4000,59,1,,No,No,No,"Air Conditioned, Banquet Hall, Bar/Lounge, Jogging and Strolling Track",False,False,Owner,74,Immediately,2026-03-21T14:57:26.000Z,"Mar 21, '26",True
/j4clQCfnuZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-27-in-Greater-Noida&id=4d423833353135373131,2026-04-19 13:48:45,28.3903979782804,77.5243049269765,,Sector 27,studio apartment,,,,Apartment,Furnished,5,22,North - East,750,Sq-ft,New Construction,"studio apartment pari chowk greater Noida Check out this newly constructed 1 BHK flat on rent in the prime location of Sector 27 Greater Noida. The flat is located on the 5 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 750 sqft. You will also find 1 Covered, 1 Open parking facility. The apartment is equipped with power back up, reserved parking, security, service/goods lift, air conditioned, intercom facility, ro water system. This flat is located at Sector 27, Greater Noida, Noida, Uttar Pradesh.",30000,60000,0,40,1,"1 Covered, 1 Open",No,No,No,"Air Conditioned, Banquet Hall, Bar/Lounge, Jogging and Strolling Track",False,True,Agent,100,Immediately,2026-02-23T01:36:09.000Z,"Feb 23, '26",True
xg9f190oFH9zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-614-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-1-in-Greater-Noida&id=4d423834323431333631,2026-04-19 13:48:45,28.5661101,77.4406099,,Sector 1,"Chi V, Greater Noida, Uttar Pradesh","19202|Gautam Buddha Balak Inter College, 19206|Mahagun Mart",,,Apartment,Furnished,9,21,North - East,614,Sq-ft,Less than 5 years,"Check out this newly constructed 1 BHK flat on rent in the prime location of Sector 1 Greater Noida. This 1 BHK flat is available at the reasonable rent amount of ₹25,000. Get access to smart facilities such as 1 Wardrobe, 1 Bed, 1 TV, Fridge, Microwave, 2 AC, Sofa, Dining Table and Gas Connection simply by choosing this flat for rent. The flat is on the 9 floor and includes 1 bathrooms, 1 balcony with a covered area of 614 sqft. The residence includes power back up, security.",25000,25000,1200,41,1,,Yes,No,No,Jogging and Strolling Track,False,True,Agent,94,Immediately,2026-04-17T23:45:19.000Z,Yesterday,True
