listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
QQsuoc3r5p1zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-36A-in-Gurgaon&id=4d423834323035303937,2026-04-19 13:46:53,28.4149630172885,76.9779951354747,,Sector 36A,"Sector 36A,Gurgaon",,,,Apartment,Semi-Furnished,5,10,East,500,Sq-ft,5 to 10 years,"Find 1 BHK flat for rent in Sector 36A Gurgaon. This 1 BHK flat is available at the reasonable rent amount of ₹18,000. Additional amenities available with the flat are 1 Wardrobe. The flat is located on the 5 floor which includes 2 bathrooms, 1 balcony, and covers a carpet area of 363 sqft. 1 Open parking space is also available. The property encompasses 10 floor and provides Kids Club, Kids Play Pool With Water Slides amenities. The flat comes with power back up, reserved parking, security. The apartment is located at NH8, Sector- 36A, Gurugram, Haryana.",18000,18000,2000,36,2,1 Open,No,No,No,,False,True,Agent,87,Immediately,2026-04-17T23:45:21.000Z,Yesterday,True
VyzFh67XgkVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-108-in-Gurgaon&id=4d423834313635373735,2026-04-19 13:46:53,28.5132589756612,76.9826987890288,,Sector 108,"Sector 108,Gurgaon","19201|Building Candor Techspace, 19202|The Shikshiyan School",122006,,Apartment,Semi-Furnished,7,15,North - West,750,Sq-ft,New Construction,"1 Bhk Affordable Near Delhi Border with surrounding by Lush Green Delhi Green Zone. You can explore this 1 BHK flat on rent in Sector 108 Gurgaon. ₹10,000 is the monthly rent of this 1 BHK flat. The flat comes with some add-on facilities such as 1 Wardrobe. The flat is on the 7 floor and includes 1 bathrooms, 2 balcony with a carpet area of 350 sqft. The property has 15 floor and is equipped with Kids play area facilities. This unit features power back up, security. The full address of the apartment is Near Dharampur, Dharampur, Sector 108, Gurugram, Haryana 122006.",10000,20000,2000,13,1,,No,No,No,,True,True,Agent,100,Immediately,2026-04-17T23:45:21.000Z,Yesterday,True
9n7VukD8F5dzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-375-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-62-in-Gurgaon&id=4d423834313331373037,2026-04-19 13:46:53,28.4084074,77.0836769,,Sector 62,"Sector 62,Gurgaon","19202|Heritage Xperiential Learning School, 19202|Gurgaon Public School, 19206|Omaxe Gurgaon Mall",,,Apartment,Furnished,3,5,North - East,375,Sq-ft,Less than 5 years,"1bhk apartment available for rent at Pioneer Araya,Sector 62. This is a Fully Furnished Property with the budget of 22000. A beautiful 1 BHK flat is available for rent in Sector 62. The rent of the 1 BHK flat is ₹22,000. Some premium add-on facilities bundled with the flat are 1 Wardrobe, 1 Bed, 1 TV, Fridge, Microwave, 1 AC, Sofa, Washing Machine, Dining Table and Gas Connection. The flat is located on the 3 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 300 sqft. 1 Covered parking facility are also available. The residence includes power back up, reserved parking, security. The apartment is located at Rajesh Pilot Chowk, CRPF Rd, near Golf Course Extension Road, Sector 62, Gurugram, Ghata, Haryana.",22000,66000,,59,1,1 Covered,No,No,No,,False,True,Agent,90,Immediately,2026-04-16T23:45:21.000Z,"Apr 17, '26",True
Wy/0cAULoAVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1150-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-38-in-Gurgaon&id=4d423832313039343135,2026-04-19 13:46:53,28.4365991977324,77.0405475804057,,Sector 38, Sector 38,"19201|Zile singh market, 19202|Rajkiya Uccha Vidyalaya, 19202|Mount Olympus School,, 19203|Medanta - The Medicity, 19206|JMD Galleria",,,Apartment,Furnished,2,4,North,1150,Sq-ft,New Construction,"newly built Find this 1 BHK rental flat in Sector 38 Gurgaon. The 1 BHK apartment is available at a reasonable rent of ₹20,000. The flat is located on the 2 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 950 sqft. The property features power back up, reserved parking, security, service/goods lift, air conditioned, ro water system. The flat can be visited at Sector 38, Gurgaon, Haryana. This is a no-brokerage flat because the owner has posted the ad on this 1 BHK apartment.",20000,0,0,17,1,,Yes,No,No,"Service/Goods Lift, Air Conditioned, Laundry Service, RO Water System",False,True,Owner,85,Immediately,2026-04-14T23:31:53.000Z,"Apr 15, '26",True
xCmKQpKYcGBzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-72-in-Gurgaon&id=4d423833303130333131,2026-04-19 13:46:53,28.4208619968409,77.0240511155076,,Sector 72,near tata primanti gate no 7-8 vatika chowk sec 73,"19201|Dlf Corporate Greens, 19202|Dpg Institute Of Technology & Management, 19202|Rao Mohar Singh College",,,Apartment,Unfurnished,Ground,3,East,1000,Sq-ft,New Construction,"opp park facing If you are searching a 1 BHK apartment for rent in Sector 72, check out this amazing rental flat. The apartment is available at an affordable rental price of ₹8,500. The apartment comes furnished with power back up. The apartment is located at near tata primanti gate no 7-8 vatika chowk sec 73, Sector 72, Gurgaon, Delhi NCR. There are no brokerage fees on this 1 BHK multistorey apartment.",8500,8500,,8,1,,No,No,No,,False,True,Owner,54,Immediately,2026-04-17T23:31:37.000Z,Yesterday,True
2hYEZN173ohzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-485-Sq-ft-Multistorey-Apartment-FOR-Rent-Sohna-in-Gurgaon&id=4d423834303637313737,2026-04-19 13:46:53,28.247592,77.069185,,Sohna,"Gurgaon, Delhi NCR","19202|Govt. Middle School, 19202|KIIT College of Engineering, 19203|Bharat Hospital and Trauma Centre, 19203|UPKAR MULTISPECIALITY HOSPITAL, 19206|Metro World Mall",,,Apartment,Furnished,3,10,North,485,Sq-ft,New Construction,"Find 1 BHK flat for rent in Sohna Gurgaon. Available at a rental price of ₹15,000, this 1 BHK flat is worth considering. The apartment is on the 3 floor, has a carpet area of 480 sqft with 1 bathrooms and 2 balcony. This unit features power back up, reserved parking, security, service/goods lift, air conditioned, intercom facility, ro water system. You can visit the flat at Sector 33, Sohna Road, Haryana.",15000,,,31,1,,No,No,No,"Air Conditioned, Banquet Hall, Jogging and Strolling Track, Outdoor Tennis Courts",True,True,Agent,48,Immediately,2026-04-04T04:08:32.000Z,"Apr 04, '26",True
RGB53lTv3txzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Gurgaon&id=4d423830373439393833,2026-04-19 13:46:53,28.4677347,77.0352123,,Prem Nagar Sector 13,"5113, Prem Nagar Colony, Old Delhi Road, Gurgaon  122001",19203|Lotus Hospital,122001,,Apartment,Unfurnished,Ground,4,North,1300,Sq-ft,New Construction,"Check out this newly constructed 1 BHK flat on rent in the prime location of Prem Nagar Sector 13 Gurgaon. This 1 BHK flat is available at the reasonable rent amount of ₹22,000. Located on the Ground floor, the flat comprises 1 bathrooms, 1 balcony, and has a carpet area of 500 sqft. The property features power back up, security. The address is 5113, Prem Nagar Colony, Old Delhi Road, Gurgaon 122001, Prem Nagar Sector 13, Gurgaon, Delhi NCR. This 1 BHK apartment ad is listed by the owner, so there is no brokerage fee.",22000,44000,1000,17,1,,No,No,No,,False,True,Owner,98,Immediately,2026-04-15T23:44:31.000Z,"Apr 16, '26",True
a8W4IO7d7DRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Gurgaon&id=4d423833313432343433,2026-04-19 13:46:53,28.48611141,77.10202593,,Block S Phase 3 DLF,"Gurgaon, Delhi NCR",,,,Apartment,Furnished,1,4,,550,Sq-ft,New Construction,"You can explore this 1 BHK flat on rent in Block S Phase 3 DLF Gurgaon. ₹25,000 is the monthly rent of this 1 BHK flat. The flat is on the 1 floor and includes 1 bathrooms, 1 balcony with a carpet area of 550 sqft. Visit the apartment at Block S Phase 3 DLF, Gurgaon, Delhi NCR.",25000,,,45,1,,No,No,No,,False,True,Agent,47,Immediately,2026-04-16T23:45:22.000Z,"Apr 17, '26",True
hsj4HBXgfbVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-4750-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sohna-Road-in-Gurgaon&id=4d423730313230383635,2026-04-19 13:46:53,28.4178339481063,77.0400610261882,,Sohna Road,"A Block,Vipul World","19210|Malibu Towne, 19201|Bestech Business Park, 19202|Goverment School, 19202|KIIT school, 19206|Omaxe Wedding Mall, 19206|Sapphire Mall",,,Builder Floor Apartment,Furnished,2,5,North - East,4750,Sq-ft,Less than 5 years,"Luxury Fully Furnished 1BHK available For Rent in Gated Society... 1 BHK apartment is available on rent in Sohna Road Gurgaon right away. This 1 BHK flat is available at the reasonable rent amount of ₹23,000. Located on the 2 floor, the flat has 1 bathrooms, 1 balcony in carpet area of 650 sqft. This property features 5 floor and offers a range of Kids Club facilities. The apartment comes furnished with power back up, reserved parking, security, service/goods lift, air conditioned, ro water system. Visit the flat at Sector 49, Gurgaon, Haryana.",23000,23000,0,5,1,,No,No,No,"Air Conditioned, Laundry Service, Banquet Hall, Bar/Lounge",False,True,Agent,87,Immediately,2026-04-17T23:45:19.000Z,Yesterday,True
tmMbJzfUv3xzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-540-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-47-in-Gurgaon&id=4d423833343738373135,2026-04-19 13:46:53,28.4258675,77.0475735,,Sector 47,"1088, 1st Floor","19210|Noida Sector 38 Bus Stop, 19210|Sector 47 Malibu Town Bus Stand, 19201|More Supermarket - Gurgaon Sector 47, 19201|S S Plaza, 19202|S D Adarsh Vidyalaya, 19202|Klay School, 19203|Park Hospital, 19203|Cloudnine Hospital, 19206|Modern Bazaar, 19206|Ss Plaza",,,Builder Floor Apartment,Furnished,1,2,North - East,540,Sq-ft,5 to 10 years,"its 1bhk fully furnished independent house floor, available 25th Feb , 1 BHK apartment is available on rent in Sector 47 Gurgaon right away. You can get this flat at monthly rent of ₹25,000. The residents of the flat have access to additional facilities such as 1 Wardrobe, 1 Bed, 1 TV, Fridge, 1 AC, Sofa and Gas Connection. The flat is on the 1 floor and includes 1 bathrooms, 2 balcony with a carpet area of 540 sqft. 2 Open parking space is also available. The full address of the apartment is 1088, 1st Floor, Sector 47, Gurgaon, Delhi NCR.",25000,50000,500,46,1,2 Open,No,No,No,,True,True,Agent,100,Immediately,2026-04-16T23:45:20.000Z,"Apr 17, '26",True
