listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
p58okmHDohVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Rent-C-Scheme-in-Jaipur&id=4d423735303730363635,2026-04-19 13:56:08,26.909987013136103,75.79952611414278,,C-Scheme,c scheme,"19202|Koda International School, 19202|Mahaveer College Of Commerce",,,Apartment,Furnished,3,6,,700,Sq-ft,New Construction,"big size luxurious studio apartment on daily basic and monthly also Find this 1 BHK rental flat in C Scheme Jaipur. This 1 BHK flat is available at the reasonable rent amount of ₹60,000. The apartment is on the 3 floor, has a carpet area of 500 sqft with 1 bathrooms and 1 balcony. This home provides power back up, reserved parking, security, service/goods lift, visitor parking. Visit the flat at c scheme, C Scheme, Jaipur, Rajasthan.",60000,,,86,1,,Yes,No,No,"Service/Goods Lift, Visitor Parking, Laundry Service, Jogging and Strolling Track",True,True,Agent,71,Immediately,2026-03-24T05:29:51.000Z,"Mar 24, '26",True
boXtpHqF2iZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-405-Sq-ft-Multistorey-Apartment-FOR-Rent-Jagatpura-in-Jaipur&id=4d423735313737363433,2026-04-19 13:56:08,26.8352503,75.8243427,,Jagatpura,near d Mart jagatpura,"19210|Getor Jagatpura, 19202|Gyan Vihar School of Engineering Technology, 19202|Jaipur National University",,,Apartment,Furnished,5,12,North,405,Sq-ft,New Construction,"1 BHK apartment is available on rent in Jagatpura Jaipur right away. The multistorey apartment is available at rent of ₹18,000. This residential building features 12 floor and ensures Kids play area comfort. This home provides power back up, reserved parking, security, service/goods lift, air conditioned. Visit the flat at ""Khasra No./ Plot No.A27-A38 , Village- Ramnagaria South,(Niji Khatedar) Jagatpura,Jaipur , , Jaipur.",18000,32000,,44,1,,No,No,No,"Air Conditioned, Laundry Service, Banquet Hall, Jogging and Strolling Track",True,True,Agent,55,Immediately,2026-04-18T23:45:32.000Z,Today,True
uThL2AqatNtzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-566-Sq-ft-Multistorey-Apartment-FOR-Rent-Jagatpura-in-Jaipur&id=4d423834313132393337,2026-04-19 13:56:08,26.8352503,75.8243427,,Jagatpura,"Jagatpura,Jaipur","19210|Getor Jagatpura, 19202|Gyan Vihar School of Engineering Technology, 19202|Jaipur National University",,,Apartment,Semi-Furnished,7,11,East,566,Sq-ft,Less than 5 years,"You can explore this 1 BHK flat on rent in Jagatpura Jaipur. You can get this flat at monthly rent of ₹20,000. The flat is located on the 7 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 381 sqft. This property features 11 floor and offers a range of Kids Club facilities. This flat is located at 7 number circle , Mahal Road, Jagatpura , Jaipur.",20000,20000,3,35,1,,No,No,No,,False,True,Agent,95,Immediately,2026-04-18T23:45:35.000Z,Today,True
JKcmc/SKkmBzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Vaishali-Nagar-in-Jaipur&id=4d423834323933313831,2026-04-19 13:56:08,26.9159729,75.7400563,,Vaishali Nagar,"Main, Gandhi Path Rd, near Mall of Jaipur, B Block, Vaishali Nagar, Jaipur, Rajasthan 302021","19210|Kanakpura Railway Station, 19201|Shree Govind Business Tower, 19202|Blue Star Public Senior Secondary School, 19202|Ritzy School, 19206|London Street Bazaar, 19206|Big Bazaar",,,Apartment,Furnished,3,19,South -West,750,Sq-ft,New Construction,"1 BHK apartment is available on rent in Vaishali Nagar Jaipur right away. The multistorey apartment is available at rent of ₹9,000. The apartment is on the 3 floor, has a carpet area of 650 sqft with 1 bathrooms and 1 balcony. This residential building features 19 floor and ensures Kids Club comfort. The property features power back up, reserved parking, security, air conditioned. The address is C- 6, Vashistha Marg Hanuman Nagar, Vaishali Nagar, Jaipur. The brokerage amount of the 1 BHK apartment is zero.",9000,9000,0,12,1,,Yes,No,No,"Air Conditioned, Jogging and Strolling Track",False,False,Owner,74,Immediately,2026-04-18T05:48:50.000Z,Yesterday,True
x1QnbjdlEBlzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-525-Sq-ft-Multistorey-Apartment-FOR-Rent-Jagatpura-in-Jaipur&id=4d423833373137393139,2026-04-19 13:56:08,26.8352503,75.8243427,,Jagatpura,"Jagatpura,Jaipur","19210|Getor Jagatpura, 19202|Swami Keshvan Institute of Technology, 19202|Jaipur National University",,,Apartment,Furnished,4,10,North - West,525,Sq-ft,Less than 5 years,1bhk furnished flat .The project is situated near amenities like the Akshaya Patra Temple and is a residential area with good connectivity to other parts of the city. The project is designed to cater to residents seeking a premium lifestyle and offers 1bhk furnished flat.,20000,,,38,1,1 Open,No,No,No,,False,True,Agent,84,Immediately,2026-03-10T09:46:14.000Z,"Mar 10, '26",True
AmbN9mYpp1dzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Builder-Floor-Apartment-FOR-Rent-C-Scheme-in-Jaipur&id=4d423833343432353839,2026-04-19 13:56:08,26.909987013136103,75.79952611414278,,C-Scheme,Ashok Nagar C scheme Jaipur,"19202|Koda International School, 19202|Mahaveer College Of Commerce",,,Builder Floor Apartment,Furnished,1,2,North - East,600,Sq-ft,Less than 5 years,"this is one bedroom attached let bath kitchen well furnished premisespeacefully environment,24 hour water supply secure area nice location near railway stationnear bus standmahesh maheshwarijagdish tolet services",15000,15000,500,25,1,1 Covered,No,No,No,,True,True,Agent,100,Immediately,2026-04-17T23:45:21.000Z,Yesterday,True
vcNHDZeEDbRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-454-Sq-ft-Multistorey-Apartment-FOR-Rent-Malviya-Nagar-in-Jaipur&id=4d423539353333343931,2026-04-19 13:56:08,26.8571264,75.8127199,,Malviya Nagar,822 sundar nagar malviya nagar,"19202|N.K International School, 19202|Tuito International School, 19206|Crystal Court Mall, 19206|Shopping Triangle",,,Apartment,Furnished,1,4,North - East,454,Sq-ft,New Construction,"1 BHK flat is available for rent in Malviya Nagar immediately. You can get this flat at monthly rent of ₹14,400. The residents of the flat have access to additional facilities such as 1 Wardrobe, 1 Bed, 1 TV, Fridge, Microwave, 1 AC and Sofa. The flat is located on the 1 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 321 sqft. The property includes 6 Covered, 6 Open parking. The apartment is equipped with power back up, reserved parking, security. The address is 822 sundar nagar malviya nagar, Malviya Nagar, Jaipur, Rajasthan.",14400,12000,200,32,1,"6 Covered, 6 Open",Yes,No,No,Jogging and Strolling Track,True,True,Agent,100,Immediately,2026-04-18T23:45:31.000Z,Today,True
41bnNR9p2bpzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-250-Sq-ft-Multistorey-Apartment-FOR-Rent-Jhag-in-Jaipur&id=4d423833303731343539,2026-04-19 13:56:08,26.71754,75.4636,,Shivam Properties & Developers ,"Jhag, Jaipur, Rajasthan",,,,Apartment,Furnished,Ground,1,East,250,Sq-ft,5 to 10 years,"the property was too good and luxary 1 BHK apartment is available on rent in Jhag Jaipur right away. ₹15,000 is the monthly rent of this 1 BHK flat. Live in this lovely flat and get access to various useful facilities such as 1 Wardrobe, 1 Bed, 1 TV, Fridge, 1 AC and Gas Connection. Visit the flat at Jhag, Jaipur, Rajasthan, Jhag, Jaipur, Rajasthan.",15000,22500,0,60,1,,No,No,No,,True,True,Agent,93,Immediately,2026-04-17T23:45:18.000Z,Yesterday,True
BgFvRBFk6H1zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-777-Sq-ft-Multistorey-Apartment-FOR-Rent-Malviya-Nagar-in-Jaipur&id=4d423833363835393437,2026-04-19 13:56:08,26.8571264,75.8127199,,Malviya Nagar,near airport,"19202|Tuito International School, 19202|Gvm International School, 19206|Jalsa Mall, 19206|World Trade Park",,,Apartment,Furnished,Ground,4,North,777,Sq-ft,5 to 10 years,"1 bhk furnished flat for rent for boys, girls and couples near airport. Independent flat with no restrictions. double bed with mattresses, gezar, ro,freeze etc provided. if need ac or cooler will provide according to requirement.",14000,14000,500,18,1,1 Covered,No,No,No,"Air Conditioned, Banquet Hall, Jogging and Strolling Track, Outdoor Tennis Courts",True,True,Agent,100,Immediately,2026-04-17T23:45:18.000Z,Yesterday,True
ZBOo4Vkbp/tzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-450-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Vaishali-Nagar-in-Jaipur&id=4d423834323533373437,2026-04-19 13:56:08,26.9159729,75.7400563,,Vaishali Nagar,Dcm,"19210|Kanakpura Railway Station, 19201|Shree Govind Business Tower, 19202|Blue Star Public Senior Secondary School, 19202|The Castle Convent Senior Secondary School, 19206|London Street Bazaar, 19206|Big Bazaar",,,Builder Floor Apartment,Furnished,1,2,East,450,Sq-ft,New Construction,"Studio apartment fully furnished for bachl Find this 1 BHK rental flat in Vaishali Nagar Jaipur. The apartment is available at an affordable rental price of ₹16,500. The flat is located on the 1 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 350 sqft. This unit features power back up, reserved parking, security, air conditioned, ro water system. Find this apartment at Dcm, Vaishali Nagar, Jaipur, Rajasthan.",16500,33000,500,37,1,,No,No,No,"Air Conditioned, Internet/Wi-Fi Connectivity, RO Water System, Jogging and Strolling Track",True,True,Agent,73,Immediately,2026-04-17T23:45:18.000Z,Yesterday,True
