listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
r77oex/5c5ZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Rent-New-Town-in-Kolkata&id=4d423734353636303137,2026-04-19 13:50:41,22.5913323,88.4821379,,New Town,"Kolkata, West Bengal","19201|Spencers, 19201|Tcs Gitanjali Park, 19202|Charnock Healthcare Institute, 19202|Presidency University Newtown Campus, 19203|Kolkata Nursing Home, 19203|Hcg Eko Cancer Centre, 19206|Relience Smart Shopping Mall, 19206|Galaxy Mall",,,Apartment,Furnished,1,1,,900,Sq-ft,5 to 10 years,"1 BHK apartment is available on rent in New Town Kolkata right away. Available at a rental price of ₹67,889, this 1 BHK flat is worth considering. Located on the 1 floor, the flat has 1 bathrooms, 1 balcony in carpet area of 780 sqft. The owner has posted this 1 BHK flat for rent, so the brokerage fees is zero on this multistorey apartment.",67889,,,75,1,,No,No,No,,False,False,Owner,48,Immediately,2026-02-27T17:35:02.000Z,"Feb 27, '26",True
Cm1ygF7PnhRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Rent-New-Town-in-Kolkata&id=4d423734353839323833,2026-04-19 13:50:41,22.5913323,88.4821379,,New Town,"Kolkata, West Bengal","19201|City Centre New Town, 19201|Ecospace Island, 19202|Presidency University Newtown Campus, 19202|Aliah University, 19203|Tata Cancer Hospital, 19203|Ujjiban Multi Speciality Hospital, 19206|Dlf Galleria, 19206|The Ivy Mall",,,Apartment,Furnished,1,1,,900,Sq-ft,Less than 5 years,"1 BHK apartment is available on rent in New Town Kolkata right away. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹67,787. The flat is located on the 1 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 890 sqft. You can visit the flat at New Town Action Area 1, Kolkata, West Bengal. The brokerage amount of the 1 BHK apartment is zero.",67787,,,75,1,,No,No,No,,False,False,Owner,48,Immediately,2026-02-28T17:35:01.000Z,"Feb 28, '26",True
OL/yKjEkx01zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Rent-New-Town-in-Kolkata&id=4d423735363338393739,2026-04-19 13:50:41,22.5913323,88.4821379,,New Town,"Kolkata, West Bengal","19201|Candor Techspace, 19201|Spencers, 19202|The Newtown School, 19202|St Xaviers University, 19203|Hcg Eko Cancer Centre, 19203|Tata medical center, 19206|Axis Mall, 19206|SMART Superstore",,,Apartment,Furnished,1,1,,900,Sq-ft,5 to 10 years,"If you are searching a 1 BHK apartment for rent in New Town, check out this amazing rental flat. The apartment is available at an affordable rental price of ₹67,789. Located on the 1 floor, the flat has 1 bathrooms, 1 balcony in carpet area of 890 sqft. Visit the apartment at New Town Action Area 1, Kolkata, West Bengal. This is a no-brokerage flat because the owner has posted the ad on this 1 BHK apartment.",67789,,,75,1,,No,No,No,,False,False,Owner,33,Immediately,2026-02-24T17:35:02.000Z,"Feb 24, '26",True
ZmbgbOoaQr9zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-50-Sq-ft-Multistorey-Apartment-FOR-Rent-Dum-Dum-Road-in-Kolkata&id=4d423430343030353633,2026-04-19 13:50:41,22.6209305832082,88.3988596779818,,Srabani,Dumdum metro Kolkata,"19201|Fashion Factory, 19203|ILS Hospital",,,Apartment,Unfurnished,Ground,2,East,50,Sq-ft,5 to 10 years,"good property,near by market , Grab the chance to own this affordable 1 BHK flat for rent in the Dum Dum Road area. This flat is located at Dumdum metro Kolkata, Dum Dum Road, Kolkata - North, West Bengal. The owner has posted this 1 BHK flat for rent, so the brokerage fees is zero on this multistorey apartment.",60000,21000,0,1200,1,,No,No,No,,False,False,Owner,86,Immediately,2026-04-02T17:35:01.000Z,"Apr 02, '26",True
x6nwD7ik8ZVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Agarpara-in-Kolkata&id=4d423732333439373531,2026-04-19 13:50:41,22.6850732569186,88.3914022736527,,Agarpara,"Kolkata, West Bengal","19210|Ghola Bus Stand, 19210|Agarpara railway station, 19201|Style Bazar, 19201|Haji Market, 19202|Sarada Vidhyapith, 19202|Narula Institute Of Technology, 19203|Zenith Super Speciality Hospital, 19203|N.H.I. Hospital, 19206|Archana Shopping Center",,,Apartment,Unfurnished,1,4,,1000,Sq-ft,New Construction,"Multistorey apartment is available for rent. It is a good location property. Please contact for more details. Find this 1 BHK rental flat in Agarpara Kolkata. The 1 BHK apartment is available at a reasonable rent of ₹80,000. The address is Agarpara, Kolkata - North 24 Parganas District, West Bengal. Do not pay any brokerage fee for this 1 BHK rental flat since the property ad is posted by the flat owner.",80000,3500,150,80,1,,No,No,No,,False,False,Owner,58,Immediately,2026-04-16T17:35:01.000Z,"Apr 16, '26",True
GrCXZX3F3oJzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Rent-New-Town-in-Kolkata&id=4d423431343835353131,2026-04-19 13:50:41,22.5913323,88.4821379,,New Town,Action Area  3  Sapurji,"19201|Great Easten Treading Company, 19201|Tcs Gitanjali Park, 19202|Presidency University Newtown Campus, 19202|University of Engineering & Management (UEM), 19203|Hcg Eko Cancer Centre, 19203|Kolkata Nursing Home, 19206|New Town Heights Plaza, 19206|Sukhobrishti Shopping Complex",,,Apartment,Furnished,1,1,,550,Sq-ft,Less than 5 years,"The Flat has 1 bedroom and it is located on 1 floor and it has 2 bathroom You get this spacious Flat at 76000 per month. If you are planning to rent a flat, you can consider this 1 BHK flat situated in the prime location of New Town. Available at a rental price of ₹76,000, this 1 BHK flat is worth considering. The flat is on the 1 floor and includes 2 bathrooms, 1 balcony with a carpet area of 470 sqft. Find this apartment at Block K, SP Sukhobrishti Ln, Action Area III, Newtown, Kolkata, West Bengal . The owner has posted this 1 BHK flat for rent, so the brokerage fees is zero on this multistorey apartment.",76000,,,138,2,,No,No,No,,False,False,Owner,38,Immediately,2026-03-05T17:35:01.000Z,"Mar 05, '26",True
b3/m36ypVhJzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-620-Sq-ft-Multistorey-Apartment-FOR-Rent-Buroshibtalla-in-Kolkata&id=4d423439323033313739,2026-04-19 13:50:41,22.502698,88.3335725,,Buroshibtalla,"Kolkata, West Bengal",19203|NSHM College of Pharmaceutical Technology,,,Apartment,Unfurnished,Ground,1,,620,Sq-ft,New Construction,"1 BHK apartment is available on rent in Buroshibtalla Kolkata right away. Available at a rental price of ₹75,000, this 1 BHK flat is worth considering. The apartment is located at Buroshibtalla, Kolkata - South, West Bengal. Do not pay any brokerage fee for this 1 BHK rental flat since the property ad is posted by the flat owner.",75000,30000,200,121,,,No,No,No,,False,False,Owner,31,Immediately,2026-04-07T17:35:02.000Z,"Apr 07, '26",True
Tbh8aBr0fHVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-2300-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Kalindi-Housing-Estate-in-Kolkata&id=4d423634383933333933,2026-04-19 13:50:41,22.611496,88.399079,,Kalindi Housing Estate,"P-85, Kalindi Housing Estate, Kolkata-700089",19201|Kalindi Vatika Market Block B,700089,,Builder Floor Apartment,Unfurnished,1,4,South -West,2300,Sq-ft,10 to 15 years,"Find this 1 BHK rental flat in Kalindi Housing Estate Kolkata. The multistorey apartment is available at rent of ₹75,000. The flat is located on the 1 floor which includes 2 bathrooms, 1 balcony, and covers a carpet area of 2000 sqft. The apartment comes furnished with power back up, reserved parking, security, service/goods lift, visitor parking. The flat can be visited at P-85, Kalindi Housing Estate, Kolkata-700089, Kalindi Housing Estate, Kolkata - North, West Bengal. The brokerage amount of the 1 BHK apartment is zero.",75000,700000,10000,33,2,,Yes,No,No,"Service/Goods Lift, Visitor Parking",False,True,Owner,82,Immediately,2026-02-20T17:35:02.000Z,"Feb 20, '26",True
EIYe33a8zrJzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1200-Sq-ft-Multistorey-Apartment-FOR-Rent-Nimta-in-Kolkata&id=4d423732343236333037,2026-04-19 13:50:41,22.6680847203147,88.4065542267653,,Nimta,"Kolkata, West Bengal",,,,Apartment,Unfurnished,2,4,,1200,Sq-ft,Less than 5 years,"A beautiful 1 BHK flat is available for rent in Nimta. This 1 BHK flat can be availed at the rental price of ₹75,000. The apartment is on the 2 floor, has a carpet area of 900 sqft with 1 bathrooms and 1 balcony. The flat can be visited at Nimta, Kolkata - North 24 Parganas District, West Bengal. This 1 BHK apartment ad is listed by the owner, so there is no brokerage fee.",75000,15000,,62,1,,No,No,No,,False,False,Owner,33,Immediately,2026-02-19T17:35:01.000Z,"Feb 19, '26",True
irnE7eY8ETlzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-400-Sq-ft-Multistorey-Apartment-FOR-Rent-Bhawanipur-in-Kolkata&id=4d423333353234353339,2026-04-19 13:50:41,22.5332961045428,88.3460078269203,,Bhawanipur,"Kolkata, West Bengal","19210|Rabindra Sadan Metro Station, 19210|Netaji Bhavan Metro Station, 19202|Zebra Institute - Photography Institute | Acting & Modelling Institute, 19202|Mitra Institution Bhowanipore Branch, 19203|Sri Lakshmi Narayan Maternity Home, 19203|Fortis Medical Centre, 19206|Woodburn Central Mall, 19206|Forum Courtyard Mall",,,Apartment,Furnished,1,1,,400,Sq-ft,,"The 1 bedroom Flat lies on first floor and has 1 bathroom You can avail this Flat on a monthly rent of 80000. Grab the chance to own this affordable 1 BHK flat for rent in the Bhawanipur area. You can get this flat at monthly rent of ₹80,000. The full address of the apartment is Bhawanipur, Kolkata - Central, West Bengal. The brokerage amount of the 1 BHK apartment is zero.",80000,,,200,1,,No,No,No,,False,False,Owner,29,Immediately,2026-03-15T17:35:01.000Z,"Mar 15, '26",True
