listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
sLZyu7qLYndzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Powai-in-Mumbai&id=4d423831353237373939,2026-04-19 13:37:40,19.1196773,72.9050809,,Powai,"Regent Hill, Cliff Ave, near D-Mart, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076","19210|Kensington Sez-1 Bus Stop, 19210|Hiranandani Powai Bus Station Bus Stop, 19201|Bureau of Standard, 19201|Nilkanth Super Market, 19202|Hiranandai Primary School, 19202|Gopal Sharma Memorial School, 19203|Powai Hospital, 19203|Dr. L H. Hiranandani Hospital, 19206|Galleria Shopping Mall, 19206|Empire Plaza",,,Apartment,Furnished,12,23,North - East,650,Sq-ft,Less than 5 years,"You can explore this 1 BHK flat on rent in Powai Mumbai. The 1 BHK apartment is available at a reasonable rent of ₹70,000. 1 Wardrobe, 1 Bed, 1 TV, Fridge, Microwave, 2 AC, Sofa, Washing Machine, Dining Table and Gas Connection are some of the additional amenities available with the apartment. 1 Covered parking facility are also available. This unit is designed with power back up, reserved parking, security. Find this apartment at Powai, Mumbai..",70000,200000,0,108,2,1 Covered,Yes,No,No,Jogging and Strolling Track,False,True,Agent,100,Immediately,2026-04-16T23:45:22.000Z,"Apr 17, '26",True
qn+LMYZfc29zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-574-Sq-ft-Multistorey-Apartment-FOR-Rent-Vile-Parle-East-in-Mumbai&id=4d423834303039333733,2026-04-19 13:37:40,19.10046297,72.84924449,,Vile Parle East,C3.,"19210|Hanuman Road Bus Stop, 19210|Vile Parle Police Station (E) Bus Stop, 19201|Parle Square Mall, 19202|Mubai Public School, 19202|SVKM's Mithibai College of Arts, 19203|Dr Sumitrabai Hospital, 19203|Shirodkar Hospital, 19206|Agarwal Market, 19209|Chhatrapati Shivaji Maharaj International Airport Mumbai Terminal 1, 19209|Chhatrapati Shivaji Maharaj International Airport Mumbai Terminal 2",,,Apartment,Unfurnished,Ground,4,East,574,Sq-ft,Above 20 years,"A masterpiece in design, this property opens its doors to a 574 sq. ft. of meticulously planned living space. Crafted for comfort, Effortless connectivity to public transport, the highway, station and market makes this residence a gracious addition to your elevated lifestyle. Veg and Non veg tenant allowed",65000,200000,7000,113,1,,No,No,No,,True,True,Agent,73,Immediately,2026-04-17T23:45:21.000Z,Yesterday,True
enIGXrR8hEZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Rent-Powai-in-Mumbai&id=4d423833393634303837,2026-04-19 13:37:40,19.1196773,72.9050809,,Powai,"Powai,Mumbai","19210|Jama Masjid Bus Stop, 19210|Hiranandani Powai Bus Station Bus Stop, 19201|Powai Supreme Business Park, 19201|Nilkanth Super Market, 19202|Maharashtra National Law University, 19202|Gopal Sharma Memorial School, 19203|Dr. Babasaheb Ambedkar BMC Hospital, 19203|Dr. L H. Hiranandani Hospital, 19206|Haiko Mall, 19206|Empire Plaza",,,Apartment,Semi-Furnished,4,18,East,550,Sq-ft,Less than 5 years,"A beautiful 1 BHK flat is available for rent in Powai. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹59,000. Here you can enjoy world class facilities like 1 Wardrobe, 2 AC and Gas Connection. 1 Covered parking facility are also available. The building has 18 floor and offers Kids play area, Kids Splash Pool amenities. This unit is designed with power back up, reserved parking, security. The apartment is located at New Mhada Colony, Savarkar Nagar, Chandivali, Powai, Mumbai, Maharashtra.",59000,200000,7000,107,1,1 Covered,Yes,No,No,Jogging and Strolling Track,False,True,Agent,100,Immediately,2026-03-27T10:17:59.000Z,"Mar 27, '26",True
c0WhV0FphvBzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-625-Sq-ft-Multistorey-Apartment-FOR-Rent-Powai-in-Mumbai&id=4d423731353931353131,2026-04-19 13:37:40,19.1196773,72.9050809,,Powai,"Powai,Mumbai","19210|Kensington Society Bus Stop, 19210|Hiranandani Powai Bus Station Bus Stop, 19201|Atl Corporate Park, 19201|Powai Supreme Business Park, 19202|Abhay International School, 19202|Hiranandani Foundation School, 19203|Dr. Babasaheb Ambedkar BMC Hospital, 19203|Powai Hospital, 19206|Galleria Shopping Mall, 19206|Haiko Mall",,,Apartment,Unfurnished,14,23,East,625,Sq-ft,New Construction,"This is Semi Furnished 1BHK flat available on Rentel basis at Regent Hill Hiranandani Garden Powai its brand new very high class building with lots of ammeneties like gym , swimmimg pool, banquet hall , children play area abobe 35 ammeneties. Many other options and properties on leave and license and ownership available. Contact Ramesh 99871 79355",62000,200000,0,99,2,1 Covered,Yes,No,No,Jogging and Strolling Track,False,True,Agent,95,Immediately,2026-04-17T23:45:19.000Z,Yesterday,True
rTg3MfKXH+RzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Santacruz-East-in-Mumbai&id=4d423833363932303933,2026-04-19 13:37:40,19.0799983,72.8545019,,Santacruz East,"Mumbai, Maharashtra","19210|Vakola Bridge, 19210|Santacruz East Railway Station, 19201|Walk2Mart Super Market - Kalina, 19201|Yes Bank Office, 19202|Hans Bhugra High School, 19202|Kalina University of Mumbai, 19203|R. K. Hospital, 19203|Sanjeevani Hospital, 19206|Matro Mall, 19206|Hi- Life Mall",400055,,Apartment,Furnished,9,13,East,750,Sq-ft,Less than 5 years,Available 1bhk Fullfurnise Flat for Rent In Vakola Santacruz East Gated Society With Gym with 24hour water and security with pipeline gas connection with Reserve Car Parking Space Contact us for more details,60000,150000,0,80,2,,Yes,No,No,"Service/Goods Lift, Internet/Wi-Fi Connectivity, Banquet Hall, Jogging and Strolling Track",True,True,Agent,78,Immediately,2026-04-18T23:45:32.000Z,Today,True
Yao1id/HibxzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Rent-Vile-Parle-East-in-Mumbai&id=4d423637393433383633,2026-04-19 13:37:40,19.10046297,72.84924449,,Vile Parle East,vile parle east,"19210|Hanuman Road Bus Stop, 19210|Vile Parle Police Station (E) Bus Stop, 19201|Parle Square Mall, 19202|Parle Tilak Vidyalaya, 19202|Mubai Public School, 19203|Dr Sumitrabai Hospital, 19203|Babasaheb Gawde Hospital, 19206|Agarwal Market, 19209|Chhatrapati Shivaji Maharaj International Airport Mumbai Terminal 1, 19209|Chhatrapati Shivaji Maharaj International Airport Mumbai Terminal 2",,,Apartment,Furnished,1,5,East,500,Sq-ft,New Construction,"Good 1 bhkfor rent invileparle east. 1 BHK flat is available for rent in Vile Parle East immediately. The 1 BHK apartment is available at a reasonable rent of ₹60,000. The property includes 1 Covered parking. The apartment comes furnished with security. You can visit the flat at vile parle east, Vile Parle East, Mumbai - Western Mumbai, Maharashtra.",60000,20000,0,120,1,1 Covered,No,No,No,,False,True,Agent,100,Immediately,2026-04-18T23:45:32.000Z,Today,True
fxLHAU7+P9dzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Powai-in-Mumbai&id=4d423737363238323631,2026-04-19 13:37:40,19.1196773,72.9050809,,Powai,"Powai,Mumbai","19210|Hiranandani Powai Bus Station Bus Stop, 19210|Jama Masjid Bus Stop, 19201|MTNL, 19201|Atl Corporate Park, 19202|Hiranandai Primary School, 19202|Hiranandani Foundation School, 19203|Dr. L H. Hiranandani Hospital, 19203|Powai Hospital, 19206|Haiko Mall, 19206|DMart",,,Apartment,Unfurnished,9,25,East,600,Sq-ft,New Construction,"1 bhk fully furnished flat available in regent hill with all new furniture ac,fridge,washine machine,microwave, all ameneties gym, swimming pool, club house, in good location near hiranandani garden powai family and bachelor allowed any more details please call",60000,200000,0,100,2,1 Covered,Yes,No,No,"Service/Goods Lift, Visitor Parking, Laundry Service, Jogging and Strolling Track",False,True,Agent,100,Immediately,2026-04-14T10:39:53.000Z,"Apr 14, '26",True
zBaCSIKnwG5zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Rent-Powai-in-Mumbai&id=4d423834323931323237,2026-04-19 13:37:40,19.1196773,72.9050809,,Powai,"Mumbai, Maharashtra","19210|Hiranandani Powai Bus Station Bus Stop, 19210|Kensington Sez-1 Bus Stop, 19201|Atl Corporate Park, 19201|Vinaya salvi, 19202|Maharashtra National Law University, 19202|National Institute of Industrial Engineering, 19203|Powai Hospital, 19203|Dr L H Hiranandani Hospital, 19206|DMart, 19206|Empire Plaza",,,Apartment,Semi-Furnished,24,30,East,550,Sq-ft,New Construction,"beautiful property Grab the chance to own this affordable 1 BHK flat for rent in the Powai area. You can get this flat at monthly rent of ₹70,000. This flat is fitted with power back up, reserved parking, security, service/goods lift, air conditioned, intercom facility, ro water system. Visit the apartment at Powai, Mumbai..",70000,150000,0,127,2,,No,No,No,"Air Conditioned, Banquet Hall, Bar/Lounge, Jogging and Strolling Track",False,True,Agent,76,Immediately,2026-04-17T20:47:18.000Z,Yesterday,True
wz2Lz1ZGmu1zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Hiranandani-Gardens-in-Mumbai&id=4d423738383931323539,2026-04-19 13:37:40,19.1177459703185,72.9111144020492,,Riddhisiddhi Property,"Powai,Mumbai","19201|MTNL, 19201|Bureau of Standard, 19202|Hiranandai Primary School, 19202|Poodar International, 19203|Dr. L H. Hiranandani Hospital, 19203|Powai Hospital",,,Apartment,Furnished,10,23,East,600,Sq-ft,New Construction,"Find this 1 BHK rental flat in Hiranandani Gardens Mumbai. The 1 BHK apartment is available at a reasonable rent of ₹65,000. The residents of the flat have access to additional facilities such as 1 Wardrobe, 1 Bed, 1 TV, Fridge, Microwave, 2 AC, Sofa, Washing Machine, Dining Table and Gas Connection. 1 Covered parking space is also available. The apartment is equipped with power back up, reserved parking, security. The address is Powai, Mumbai..",65000,200000,0,108,2,1 Covered,Yes,No,No,Jogging and Strolling Track,False,True,Agent,95,Immediately,2026-04-17T23:45:19.000Z,Yesterday,True
vCC4Eng9w1xzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-780-Sq-ft-Multistorey-Apartment-FOR-Rent-Santacruz-East-in-Mumbai&id=4d423833373037383839,2026-04-19 13:37:40,19.0799983,72.8545019,,Santacruz East,sundar nagar,"19210|Kolivery Village Bus Stop, 19210|Vakola Bridge, 19201|Walk2Mart Super Market - Kalina, 19201|Yes Bank Office, 19202|Hans Bhugra High School, 19202|Kalina University of Mumbai, 19203|Sanjeevani Hospital, 19203|R. K. Hospital, 19206|Pride Shopping Mall, 19206|Prime Mall",,,Apartment,Furnished,2,4,East,780,Sq-ft,5 to 10 years,"Grab the chance to own this affordable 1 BHK flat for rent in the Santacruz East area. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹60,000. This unit is designed with power back up, service/goods lift. The full address of the apartment is Kolivery Village, Vidya Nagari, Kalina, Santacruz East, Mumbai, Maharashtra .",60000,,,77,1,,Yes,No,No,Service/Goods Lift,True,True,Agent,75,Immediately,2026-03-09T12:27:09.000Z,"Mar 09, '26",True
6DgVTU3ENC9zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-670-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-East-in-Mumbai&id=4d423833343639363135,2026-04-19 13:37:40,19.1154908,72.8726952,,Andheri East,"Andheri East,Mumbai","19210|Gundavali Metro Station, 19210|Marol Naka Metro Station, 19201|Elegant Business Park, 19201|Royal Super Market, 19202|The Little Flower Education Group, 19202|Singhania University Mumbai, 19203|DR. F. F. Pardiwala, 19203|Lt Hospital, 19206|Akruti One World Mall, 19206|Star Market",,,Apartment,Semi-Furnished,10,17,East,670,Sq-ft,Less than 5 years,"A beautiful 1 BHK flat is available for rent in Andheri East. ₹57,000 is the monthly rent of this 1 BHK flat. Additional amenities available with the flat are 2 Wardrobe, Fridge, Microwave, 2 AC, Washing Machine and Gas Connection. The property includes 1 Covered parking. The flat comes with reserved parking. The full address of the apartment is Andheri East,Mumbai, Andheri East, Mumbai - Western Mumbai, Maharashtra.",57000,200000,0,85,2,1 Covered,No,No,No,,True,True,Agent,80,Immediately,2026-02-19T07:09:27.000Z,"Feb 19, '26",True
