listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
vI5NHr5AkoRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-555-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-137-in-Noida&id=4d423833323535313535,2026-04-19 13:47:47,28.5094786954795,77.4101322331205,,Sector 137,ajnara daffodils,"19210|Noida Sector 137 Metro Station, 19201|Paramount Florence Plaza, 19201|AVR SUPER MART, 19202|The Shriram Millennium School Noida, 19203|Felix Healthcare, 19203|Felix Hospital, 19206|Supertech Mart",,,Apartment,Furnished,8,14,North - West,555,Sq-ft,5 to 10 years,This society is located in sector 137 Noida. flats are available here at the lowest rent and there is a good lift. There are good activities and 24 hour security. 24 hour connectivity. All facilities are available. And there is a playground for children to play. There is a clubhouse. There is also a swimpool.,26000,39000,1600,47,1,"1 Covered, 1 Open",No,No,No,"Air Conditioned, Banquet Hall, Bar/Lounge, Jogging and Strolling Track",True,True,Agent,100,Immediately,2026-04-10T09:26:12.000Z,"Apr 10, '26",True
UN08yrkTddVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-685-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Noida&id=4d423832383238363531,2026-04-19 13:47:47,,,,Chaudhary Properties,sunworld Arista sector 168,,,,Apartment,Furnished,14,30,East,685,Sq-ft,Less than 5 years,"tata Eureka park good construction quality and garden club If you are searching a 1 BHK apartment for rent in sunworld Arista, check out this amazing rental flat. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹27,000. The flat is located on the 14 floor which includes 1 bathrooms, 2 balcony, and covers a carpet area of 555 sqft. The property features power back up, reserved parking, security, service/goods lift, intercom facility.",27000,50000,2000,39,1,,No,No,No,"Internet/Wi-Fi Connectivity, Bar/Lounge, Jogging and Strolling Track, Outdoor Tennis Courts",True,True,Agent,74,Immediately,2026-04-18T23:45:31.000Z,Today,True
uGSt3kIDCdlzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-700-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-36-in-Noida&id=4d423834313630303933,2026-04-19 13:47:47,28.5717278913238,77.3484205660763,,Sector 36,block b,"19202|Maharishi Vidya Mandir School, 19202|G.D. Goenka Global School",,,Builder Floor Apartment,Furnished,2,2,,700,Sq-ft,Less than 5 years,"Find 1 BHK flat for rent in Sector 36 Noida. The 1 BHK apartment is available at a reasonable rent of ₹26,000. The apartment is on the 2 floor, has a carpet area of 700 sqft with 1 bathrooms and 1 balcony. Visit the flat at block b, Sector 36, Noida - Central Noida, Delhi NCR.",26000,26000,500,37,1,,No,No,No,,True,True,Agent,38,Immediately,2026-04-09T08:44:21.000Z,"Apr 09, '26",True
IglGtGmcEvFzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-Arun-Vihar-in-Noida&id=4d423832373432313931,2026-04-19 13:47:47,28.566578,77.341027,,Arun Vihar,sector  37,"19210|Golf Course / Shashi Chowk Sector 36/39 Bus Stop, 19201|Lal Market, 19202|Army Public School, 19202|Amar Public School, 19203|Dr Sunalis Dental Solutions, 19206|Lal Market",,,Apartment,Furnished,3,3,North - West,800,Sq-ft,New Construction,"Single story plot sale immidiate You can avail the 1 BHK flat for rent in the well-known location of Arun Vihar. The multistorey apartment is available at rent of ₹30,000. The apartment is on the 3 floor, has a carpet area of 750 sqft with 1 bathrooms and 4 balcony. Visit the flat at Arun Vihar, Sector 37, Noida, Delhi/NCR.",30000,30000,1000,38,1,,No,No,No,,False,True,Agent,74,Immediately,2026-03-09T19:44:02.000Z,"Mar 10, '26",True
M/DxRIeGtQdzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-615-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-75-in-Noida&id=4d423635313134383837,2026-04-19 13:47:47,28.5756572575939,77.3826988418206,,Sector 75,"Noida, Delhi NCR","19210|Sector 50 Metro|5 minutes, 19210|Noida Sector 50 Metro Station|5 minutes, 19202|Rajkiya Sarvodaya Kanya Vidyalaya (Jeeja Bai)",,,Apartment,Furnished,6,17,,615,Sq-ft,New Construction,"near by metro station Sec 50 Grab the chance to own this affordable 1 BHK flat for rent in the Sector 75 area. The flat is available for rent at a competitive amount of ₹28,000. The flat is on the 6 floor and includes 1 bathrooms, 2 balcony with a carpet area of 550 sqft. The property encompasses 17 floor and provides Early Learning Centre, Kids Club amenities. This flat is fitted with power back up, reserved parking, security, service/goods lift, visitor parking. Visit the apartment at Maxblis Grand Wellington, Plot No-1, Sector 75, Noida, Uttar Pradesh .",28000,,,46,1,,No,No,No,"Banquet Hall, Bar/Lounge, Jogging and Strolling Track, Outdoor Tennis Courts",False,True,Agent,71,Immediately,2026-04-17T12:11:12.000Z,"Apr 17, '26",True
vRnJ1GCanPtzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-615-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-75-in-Noida&id=4d423833353432383133,2026-04-19 13:47:47,28.5756572575939,77.3826988418206,,Sector 75,please call,"19210|Sector 50 Metro|5 minutes, 19210|Noida Sector 50 Metro Station|5 minutes, 19202|Rajkiya Sarvodaya Kanya Vidyalaya (Jeeja Bai)",,,Apartment,Furnished,6,16,East,615,Sq-ft,5 to 10 years,"near metro station If you are planning to rent a flat, you can consider this 1 BHK flat situated in the prime location of Sector 75. Available at a rental price of ₹30,000, this 1 BHK flat is worth considering. The apartment is on the 6 floor, has a covered area of 615 sqft with 2 bathrooms and 1 balcony. This building features 16 floor and provides Early Learning Centre, Kids Club facilities. The apartment is equipped with power back up, reserved parking, security, service/goods lift, intercom facility, ro water system. Find this apartment at Maxblis Grand Wellington, Plot No-1, Sector 75, Noida, Uttar Pradesh .",30000,30000,15000,49,2,,No,No,No,"Banquet Hall, Bar/Lounge, Jogging and Strolling Track, Outdoor Tennis Courts",True,True,Agent,59,Immediately,2026-02-25T04:29:08.000Z,"Feb 25, '26",True
NZETAREBWi9zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-615-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-75-in-Noida&id=4d423834333035353433,2026-04-19 13:47:47,28.5756572575939,77.3826988418206,,Sector 75,"Noida, Delhi NCR","19210|Sector 50 Metro|5 minutes, 19210|Noida Sector 50 Metro Station|5 minutes, 19202|Rajkiya Sarvodaya Kanya Vidyalaya (Jeeja Bai)",,,Apartment,Furnished,10,17,South - East,615,Sq-ft,Less than 5 years,"nearby metro station You can avail the 1 BHK flat for rent in the well-known location of Sector 75. This 1 BHK flat can be availed at the rental price of ₹28,000. Located on the 10 floor, the flat has 2 bathrooms, 1 balcony in covered area of 615 sqft. The property has 17 floor and is equipped with Early Learning Centre, Kids Club facilities. This unit is designed with power back up, reserved parking, security, service/goods lift, intercom facility, ro water system. Visit the flat at Maxblis Grand Wellington, Plot No-1, Sector 75, Noida, Uttar Pradesh .",28000,30000,2000,46,2,,No,No,No,"Internet/Wi-Fi Connectivity, Banquet Hall, Bar/Lounge, Jogging and Strolling Track",False,True,Agent,51,Immediately,2026-04-18T19:28:01.000Z,Today,True
o347BMLJGNZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-29-in-Noida&id=4d423834323232393235,2026-04-19 13:47:47,28.5687995,77.3350235,,Sector 29,"Sector 29,Noida","19210|botanical charging station, 19210|Sector 38 Botanical Garden Metro Station Bus Stop, 19202|Lord Mahavira School, 19203|Bhardwaj Hospital, 19206|Ganga Shopping Complex, 19206|Brahmaputra Market",,,Apartment,Furnished,3,4,North - East,750,Sq-ft,New Construction,"Arun Vihar sector 29, Noida, Very prime Location army flat for rent this is 1bhk with 1bedroom 1bathroom drawing dining modular kitchen with pipe gas and Ac, double bed wardrove gas pipe line stove and light fan and geyser this is fully modified flat for bachelor and couple family this flat is near by Botanical metro, sector 18 metro close to Brahmaputra market Asking price 32k",28000,30000,500,37,1,1 Open,No,No,No,,True,True,Agent,91,Immediately,2026-04-13T14:24:11.000Z,"Apr 13, '26",True
fpzDWdcY1ftzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-650-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Sector-23-in-Noida&id=4d423734353235363039,2026-04-19 13:47:47,28.5926619864195,77.3528253427342,,Sector 23,rwa,"19202|SV Public School, 19202|Noida Public School, 19206|Wave Metro Mart, 19206|Spectrum Metro Mall",,,Builder Floor Apartment,Furnished,2,3,East,,,New Construction,"yes Check out this newly constructed 1 BHK flat on rent in the prime location of Sector 23 Noida. The apartment is available at an affordable rental price of ₹33,000. The apartment is on the 2 floor, has a carpet area of 650 sqft with 1 bathrooms and 1 balcony. The flat comes with power back up, reserved parking, security, air conditioned, intercom facility, ro water system. The flat can be visited at rwa, Sector 23, Noida - Central Noida, Delhi NCR.",33000,33000,200,,1,,No,No,No,"Air Conditioned, Banquet Hall, Bar/Lounge, Jogging and Strolling Track",True,True,Agent,76,Immediately,2026-04-04T13:57:12.000Z,"Apr 04, '26",True
ka/cuj4QpFdzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-685-Sq-ft-Multistorey-Apartment-FOR-Rent-Sector-168-in-Noida&id=4d423834313535303139,2026-04-19 13:47:47,28.4942668408266,77.4087633711964,,Sector 168,Arista sector 168 Noida,"19202|Shiv Nadar School Noida, 19202|Shanti International School",201305,,Apartment,Furnished,10,30,North - East,685,Sq-ft,Less than 5 years,"If you are planning to rent a flat, you can consider this 1 BHK flat situated in the prime location of Sector 168. This 1 BHK flat is available at the reasonable rent amount of ₹28,000. The flat is located on the 10 floor which includes 1 bathrooms, 2 balcony, and covers a covered area of 685 sqft. This property features 30 floor and offers a range of Early Learning Centre, Guest Accommodation, Kids Club facilities. The apartment comes furnished with power back up, reserved parking, security, service/goods lift, visitor parking. The full address of the apartment is Plot No GH-1C, Arista, Sector 168, Noida Expressway, Uttar Pradesh, Pincode: 201305, India..",28000,,,41,1,,No,No,No,"Banquet Hall, Bar/Lounge, Jogging and Strolling Track, Outdoor Tennis Courts",True,True,Agent,71,Immediately,2026-04-09T15:42:36.000Z,"Apr 09, '26",True
