listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
7vgPQS9uIPJzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Viman-Nagar-in-Pune&id=4d423834323439363639,2026-04-19 13:42:01,18.5670809479105,73.9171057653814,,Viman Nagar Central,"Viman Nagar,Pune","19210|Ramwadi Metro Station|5 minutes, 19201|Dorabjee Mall, Town Square building, 19201|Town Square, 19202|Pm Shree Kendriya Vidyalaya, 19202|TASMAC, 19203|Salunke Hospital, 19206|Viman Nagar Shopping Mall, 19206|Star Bazaar",,,Apartment,Unfurnished,5,7,East,650,Sq-ft,5 to 10 years,"A multistory residential apartment in cosmopolitan society located in Pune. There is no problem of water in the area. The society is having 24 hours water supply. Distance for fruit, vegetable and grocery market is walk able. The area in which the s ociety is situated having lush green environment and totally pollution free zone.",26000,60000,0,40,1,1 Covered,No,No,No,,True,True,Agent,100,Immediately,2026-04-17T23:45:21.000Z,Yesterday,True
zjqWwCfkO8RzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Magarpatta-City-in-Pune&id=4d423833393335313733,2026-04-19 13:42:01,18.5167373381986,73.9263036508773,,Magarpatta City,"Magarpatta,Pune","19201|Capgemini India, 19201|Capita, 19202|Magarpatta City Public School-Pre Primary Section, 19202|Mentor International School, 19203|Nobel Hospital, 19206|Star Bazaar",,,Apartment,Furnished,4,6,East,600,Sq-ft,5 to 10 years,"Avilable 1bhk full furnished flat for rent in heliconia society in magarpatta city more details contact us Find this 1 BHK rental flat in Magarpatta City Pune. This 1 BHK flat can be availed at the rental price of ₹27,500. Live in this lovely flat and get access to various useful facilities such as 1 Wardrobe, 1 Bed, 1 TV, Fridge, Microwave, 1 AC, Sofa, Washing Machine, Dining Table and Gas Connection. The apartment is on the 4 floor, has a carpet area of 450 sqft with 1 bathrooms and 1 balcony. There is also facility of 1 Covered, 1 Open parking. This flat is fitted with power back up, reserved parking, security. Visit the flat at North Hadapsar, Hadapsar, Pune, Maharashtra.",27500,60000,0,46,1,"1 Covered, 1 Open",Yes,Yes,No,Jogging and Strolling Track,False,True,Agent,100,Immediately,2026-04-17T23:45:21.000Z,Yesterday,True
ej3OEtG3p7JzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-540-Sq-ft-Multistorey-Apartment-FOR-Rent-Kharadi-in-Pune&id=4d423739313034363331,2026-04-19 13:42:01,18.5527185,73.9454065,,Kharadi,"Kharadi, Pune.","19210|Yashwant Nagar Bus Stop, 19210|Kharadi Bypass Bus Stop, 19201|Supreme Arcade, 19201|Nyati Plaza, 19202|Rajaram Bhiku Pathare Primary School, 19202|Kothari International, 19203|Jeewan Jyot Hospital, 19203|Shaishav - Mulanche Hospital, 19206|Pratik More, 19206|Global Highstreet",,,Apartment,Furnished,17,28,East,540,Sq-ft,New Construction,"good society, road tuch society , good ventilated flat If you are searching a 1 BHK apartment for rent in Kharadi, check out this amazing rental flat. The rent of the 1 BHK flat is ₹27,000. Located on the 17 floor, the flat comprises 1 bathrooms, 1 balcony, and has a carpet area of 400 sqft. The property includes 1 Covered parking. The apartment comes furnished with reserved parking. Find this apartment at Kharadi, Pune..",27000,54000,0,50,1,1 Covered,No,No,No,,False,True,Agent,95,Immediately,2026-04-18T23:45:31.000Z,Today,True
4hbJm72lWSxzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Kalyani-Nagar-in-Pune&id=4d423833363436313637,2026-04-19 13:42:01,18.5476795,73.901482,,Kalyani Nagar,"Kalyani Nagar,Pune","19210|Kalyani Nagar Metro Station|5 minutes, 19201|Cerebrum It Park, 19202|The Lexicon International School, Kalyani Nagar, 19202|The Lexicon International School, 19203|Adarsh Nursing Home, 19206|DMart, 19206|Vascon Mariplex Mall",,,Apartment,Semi-Furnished,1,6,East,650,Sq-ft,10 to 15 years,"This is one of the good project build by reputed builder in pune Very well maintained with all rules and regulation society in this locality. If you are planning to rent a flat, you can consider this 1 BHK flat situated in the prime location of Kalyani Nagar. The multistorey apartment is available at rent of ₹35,000. 1 Wardrobe are some of the additional amenities available with the apartment. The flat is located on the 1 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 450 sqft. This home provides power back up, reserved parking, security, service/goods lift, visitor parking. Visit the apartment at Palace View Society,Nilanjali Society,Kalyani Nagar,Pune,Maharashtra.",35000,100000,0,54,1,,Yes,No,No,"Service/Goods Lift, Visitor Parking, Jogging and Strolling Track",False,True,Agent,92,Immediately,2026-04-18T23:45:32.000Z,Today,True
RgoVtTWyUwxzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-625-Sq-ft-Multistorey-Apartment-FOR-Rent-Hinjewadi-in-Pune&id=4d423833393539333731,2026-04-19 13:42:01,18.601732750311,73.7220719182405,,Hinjewadi,"Paranjape Groves Hinjewadi Phase 1, Pune","19210|Rajmudra Chowk Bus Stop, 19210|Hinjewadi Phata, 19201|Tech Mahindra Ltd, 19201|KB Hights, 19202|Zila Parishad Primary School Bhoirwadi, 19202|Mahindra International School, 19203|Life Care Multispeciality Hospital, Marunji, 19203|Ayushree Hospital, 19206|Dmart Hinjewadi, 19206|BB-PUNE-XION MALL",,,Apartment,Furnished,5,20,East,625,Sq-ft,Less than 5 years,"1 bhk Fully Furnished ,spacious and brand new flat available on rent at pune iconic project of paranjape blueridge.It is a township having all amenities.Golf course view,river side view and many more.All it companies are nearby this property .All schools,hospitals,snacks centers and shopping mall are near by.Proper sunlight and ventilation.Family and bachelors can contact.Feel free to visit.",30000,60000,0,48,1,1 Covered,Yes,No,No,Jogging and Strolling Track,False,True,Agent,100,Immediately,2026-04-16T23:45:22.000Z,"Apr 17, '26",True
8Z5uYcpzWG9zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Rent-Kharadi-in-Pune&id=4d423834303032393635,2026-04-19 13:42:01,18.5527185,73.9454065,,Kharadi,near WTC,"19210|Kharadi Bypass Bus Stop, 19210|Yashwant Nagar Bus Stop, 19201|Nyati Plaza, 19201|Supreme Arcade, 19202|Rajaram Bhiku Pathare Primary School, 19202|Victorious Kids Educares, 19203|Shaishav - Mulanche Hospital, 19203|Shree Hospital, 19206|Global Highstreet, 19206|Pratik More",,,Apartment,Unfurnished,16,22,East,500,Sq-ft,Less than 5 years,"1bhk studio apartment semi furishen there is there is all amenities like Check out this newly constructed 1 BHK flat on rent in the prime location of Kharadi Pune. The flat is available for rent at a competitive amount of ₹27,000. The flat is located on the 16 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 400 sqft. You will also find 1 Covered parking facility. This flat is fitted with power back up, reserved parking, security, service/goods lift, visitor parking. This flat is located at Kharadi, Pune..",27000,60000,0,54,1,1 Covered,Yes,No,No,"Service/Goods Lift, Visitor Parking, Laundry Service, Banquet Hall",False,True,Agent,100,Immediately,2026-04-17T23:45:21.000Z,Yesterday,True
p34xNDY0lJlzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-605-Sq-ft-Multistorey-Apartment-FOR-Rent-Koregaon-Park-in-Pune&id=4d423833373735323937,2026-04-19 13:42:01,18.537448213619,73.8946928366916,,Koregaon Park,"Koregaon Park,Pune","19210|Bhairoba Pumping Station Bus Stop, 19201|Mahalaxmi Super Market, 19202|Sadhu Vaswani Institute of Management Studies, 19202|The Lexicon International School",,,Apartment,Furnished,2,6,East,605,Sq-ft,5 to 10 years,"1 BHK apartment is available on rent in Koregaon Park Pune right away. This 1 BHK flat can be availed at the rental price of ₹35,000. The residents of the flat have access to additional facilities such as 1 Wardrobe, 1 Bed, 1 TV, Fridge, Microwave, 1 AC, Sofa, Washing Machine, Dining Table and Gas Connection. Located on the 2 floor, the flat has 1 bathrooms, 1 balcony in carpet area of 450 sqft. 1 Open parking space is also available. The apartment comes furnished with power back up, reserved parking, security.",35000,70000,0,58,1,1 Open,No,No,No,,True,True,Agent,78,Immediately,2026-04-18T23:45:31.000Z,Today,True
F2cHONGwL6JzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Rent-Prabhat-Road-in-Pune&id=4d423834313433313631,2026-04-19 13:42:01,18.5139881,73.8354683,,Prabhat Road,Laxminarayan Society,"19202|Symbiosis Vishwabhavan, 19202|Symbiosis Primary & Secondary School, 19206|Msm Central Mall",,,Apartment,Furnished,2,3,East,900,Sq-ft,Above 20 years,"Spacious 3BHK With Private Terrace If you are searching a 1 BHK apartment for rent in Prabhat Road, check out this amazing rental flat. Available at a rental price of ₹30,000, this 1 BHK flat is worth considering. The flat is on the 2 floor and includes 1 bathrooms, 1 balcony with a carpet area of 700 sqft. The apartment comes furnished with reserved parking, security, air conditioned, intercom facility.",30000,90000,0,33,1,,No,No,No,"Air Conditioned, Intercom Facility, Internet/Wi-Fi Connectivity",False,True,Agent,100,Immediately,2026-04-08T10:31:26.000Z,"Apr 08, '26",True
XFdhSPfyBI1zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Rent-Manjri-in-Pune&id=4d423833373531303731,2026-04-19 13:42:01,18.5228754199699,73.985179560855,,Manjri,"Annex Kharadi,Pune",19202|Milestone International School Manjari Bk,,,Apartment,Furnished,8,22,East,700,Sq-ft,Less than 5 years,"East facing balcony for ample morning sunlight.Main door positioned at the East side.One rooms One bathrooms Grab the chance to own this affordable 1 BHK flat for rent in the Manjri area. This 1 BHK flat is available at the reasonable rent amount of ₹26,000. If you rent the flat, you will have access to facilities like 1 Wardrobe, 2 Bed, 1 TV, Fridge, Washing Machine and Sofa. The flat is located on the 8 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 450 sqft. You will also find 1 Covered parking facility. This home provides reserved parking, security.",26000,75000,2500,37,1,1 Covered,Yes,Yes,No,Jogging and Strolling Track,True,True,Agent,95,Immediately,2026-04-04T17:36:45.000Z,"Apr 04, '26",True
wDNHEnXdQjNzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Joggers-Park-in-Pune&id=4d423834323433373335,2026-04-19 13:42:01,18.5493916696552,73.9024120421478,,Joggers Park,"Kalyani Nagar,Pune",19202|The Lexicon International School,,,Apartment,Furnished,5,20,East,750,Sq-ft,Less than 5 years,"It comes with essential furniture and fittings, making it ideal for working professionals or couples looking for a hasslefree stay. The apartment is wellventilated, receives ample natural light, and is located in a peaceful residential society with good connectivity to major areas of the city.",32000,60000,,43,1,1 Covered,Yes,No,No,Jogging and Strolling Track,False,True,Agent,95,Immediately,2026-04-15T07:28:40.000Z,"Apr 15, '26",True
