listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
2gbTRaOEUABzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-740-Sq-ft-Multistorey-Apartment-FOR-Rent-Adajan-in-Surat&id=4d423832383130383533,2026-04-19 13:52:36,21.1973663,72.782489,,Adajan,555.,"19202|Tnj International School, 19202|International Institute Of Management And Technical Studies (Iimt), 19206|Rajhans Theatre, 19206|Imperial Square Mall",,,Apartment,Semi-Furnished,6,10,North,740,Sq-ft,15 to 20 years,"1 bhk flat for rent with fully ventilation A beautiful 1 BHK flat is available for rent in Adajan. The flat is available for rent at a competitive amount of ₹11,000. The apartment is on the 6 floor, has a carpet area of 400 sqft with 1 bathrooms and 1 balcony. This unit features power back up, security, service/goods lift. Visit the flat at Honey Park Rd, Honey Park Area, L.P.Savani, Surat, Gujarat.",11000,33000,0,15,1,,Yes,No,No,"Service/Goods Lift, Internet/Wi-Fi Connectivity, Banquet Hall",False,True,Agent,69,Immediately,2026-04-17T23:45:20.000Z,Yesterday,True
NNw+bjuxcJVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-735-Sq-ft-Multistorey-Apartment-FOR-Rent-Jahangirabad-in-Surat&id=4d423732323130303039,2026-04-19 13:52:36,21.216427,72.78212,,Shree Siddhi Vinayak Property Consultant,jahangirabad,,,,Apartment,Unfurnished,12,14,East,735,Sq-ft,New Construction,"1 bhk new unused untouched flat for rent. near new d mart jahangirabad If you are planning to rent a flat, you can consider this 1 BHK flat situated in the prime location of Jahangirabad. You can get this flat at monthly rent of ₹13,000. Located on the 12 floor, the flat comprises 1 bathrooms, 2 balcony, and has a covered area of 735 sqft. The apartment is equipped with power back up, reserved parking, security, intercom facility. Visit the flat at Jahangirabad, Surat,Gujarat.",13000,36000,,18,1,,No,No,No,"Intercom Facility, Laundry Service, Internet/Wi-Fi Connectivity, Banquet Hall",False,True,Agent,73,Immediately,2026-04-17T23:45:21.000Z,Yesterday,True
8N6OYHypB59zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-771-Sq-ft-Multistorey-Apartment-FOR-Rent-Palanpur-in-Surat&id=4d423733363630343331,2026-04-19 13:52:36,21.215963,72.770389,,Rajeshwar Properties,"TP-9, FP, 116, Near Shavion shopping Shavion Circal, Gauvravpath, Road, Palanpur, Surat, Gujarat",,,,Apartment,Unfurnished,7,13,North - East,771,Sq-ft,New Construction,"1 bhk flat for rent, It is a superb property and offers an excellent view. The flat is semi furnished with multiple amenities and promises a comfortable stay. Indeed, the society too has for enjoyment, such as, and security personnel etc, Other facilities include intercom facility, lift and park etc.",13000,39000,0,17,1,1 Covered,Yes,No,Yes,Jogging and Strolling Track,False,True,Agent,95,Immediately,2026-04-17T23:45:19.000Z,Yesterday,True
fS/WbSaWcfRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Rent-Palanpur-in-Surat&id=4d423834323336333239,2026-04-19 13:52:36,21.215963,72.770389,,Neelkanth Property,"Surat, Gujarat",,,,Apartment,Semi-Furnished,6,12,East,650,Sq-ft,5 to 10 years,"1 BHK Semi Furnished Flat For Rent A beautiful 1 BHK flat is available for rent in Palanpur. Available at a rental price of ₹16,500, this 1 BHK flat is worth considering. The apartment is on the 6 floor, has a covered area of 650 sqft with 1 bathrooms and 1 balcony. The apartment comes furnished with power back up, reserved parking, security, air conditioned, intercom facility, ro water system.",16500,50000,1,25,1,,No,No,No,"Air Conditioned, Laundry Service, Internet/Wi-Fi Connectivity, Jogging and Strolling Track",True,True,Agent,53,Immediately,2026-04-14T13:27:22.000Z,"Apr 14, '26",True
EkMl2ZLAvLdzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-Adajan-in-Surat&id=4d423832393930303431,2026-04-19 13:52:36,21.1973663,72.782489,,Adajan,"Surat, Gujarat","19202|Gajera Global School, 19202|Lp Savani International School, 19206|Imperial Square Mall, 19206|Regent Mall",,,Apartment,Furnished,8,11,West,800,Sq-ft,New Construction,"A beautiful 1 BHK flat is available for rent in Adajan. The 1 BHK apartment is available at a reasonable rent of ₹20,000. The flat is on the 8 floor and includes 1 bathrooms, 1 balcony with a carpet area of 400 sqft. The apartment comes furnished with power back up, reserved parking, security, service/goods lift, intercom facility, ro water system. The apartment is located at Palanpur, Surat, Gujarat.",20000,60000,0,25,1,,No,No,No,"Laundry Service, Internet/Wi-Fi Connectivity, RO Water System, Banquet Hall",False,True,Agent,70,Immediately,2026-04-17T23:45:20.000Z,Yesterday,True
A9KaU+AJnKRzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-Citylight-Area-in-Surat&id=4d423739313036313531,2026-04-19 13:52:36,21.1666367,72.7955775,,Citylight Area,Citylight.,,,,Apartment,Furnished,5,10,East,800,Sq-ft,10 to 15 years,"1 bhk fully furnishedf lat for rent in citylight surat. You can explore this 1 BHK flat on rent in Citylight Area Surat. You can get this flat at monthly rent of ₹21,000. The residents of the flat have access to additional facilities such as 1 Wardrobe, 1 Bed, 1 AC, Sofa and Gas Connection. Located on the 5 floor, the flat comprises 2 bathrooms, 1 balcony, and has a covered area of 800 sqft. 1 Covered parking space is also available. This property offers power back up, reserved parking, security. Find this apartment at Citylight., Citylight Area, Surat, Gujarat.",21000,60000,0,26,2,1 Covered,No,No,No,,False,True,Agent,95,Immediately,2026-04-16T23:45:21.000Z,"Apr 17, '26",True
NmTvsBWqyRJzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Palan-Pur-Patiya-in-Surat&id=4d423832393337373237,2026-04-19 13:52:36,21.2099842,72.7921003,,Palan Pur Patiya,gaurav path road,,,,Apartment,Semi-Furnished,5,12,East,750,Sq-ft,Less than 5 years,"3 bhk flat new building with luxurious amenities with light fen kitchen trolley a.c. A beautiful 1 BHK flat is available for rent in Palan Pur Patiya. This 1 BHK flat can be availed at the rental price of ₹12,000. Located on the 5 floor, the flat has 1 bathrooms, 1 balcony in covered area of 750 sqft. 1 Covered parking space is also available. The apartment comes furnished with power back up, reserved parking, security, service/goods lift, air conditioned, intercom facility, ro water system. The full address of the apartment is Palanpur, Surat, Gujarat .",12000,36000,0,16,1,1 Covered,No,No,No,"Air Conditioned, Banquet Hall, Bar/Lounge, Jogging and Strolling Track",True,True,Agent,95,Immediately,2026-04-16T23:45:22.000Z,"Apr 17, '26",True
IBOPOju2OjpzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Rent-Pal-Gam-in-Surat&id=4d423737383738323233,2026-04-19 13:52:36,21.1961857,72.7706259,,Pal Gam,Near Rajcorner,,,,Apartment,Unfurnished,1,5,East,700,Sq-ft,5 to 10 years,"1BHK flat for rent, Pal area nearby Raj Corner flat in tube light fan, modular Kitchen gas line and other for more information, contact me Find 1 BHK flat for rent in Pal Gam Surat. The rent of the 1 BHK flat is ₹13,000. The apartment is on the 1 floor, has a carpet area of 400 sqft with 1 bathrooms and 1 balcony. You will also find 1 Covered parking facility. This flat is fitted with power back up, reserved parking, security. The full address of the apartment is Near Rajcorner, Pal Gam, Surat, Gujarat.",13000,36000,1,19,1,1 Covered,No,No,No,,False,True,Agent,100,Immediately,2026-03-18T05:12:50.000Z,"Mar 18, '26",True
fl1RibzSZ61zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-743-Sq-ft-Multistorey-Apartment-FOR-Rent-Palan-Pur-Patiya-in-Surat&id=4d423734313830393235,2026-04-19 13:52:36,21.2099842,72.7921003,,Palan Pur Patiya,Palanpur canal rod near lpsavani school,,,,Apartment,Semi-Furnished,3,5,East,743,Sq-ft,Less than 5 years,"all amenities,near by school lpsavani,all company bus near bus stand You can avail the 1 BHK flat for rent in the well-known location of Palan Pur Patiya. The 1 BHK apartment is available at a reasonable rent of ₹14,000. Located on the 3 floor, the flat has 1 bathrooms, 1 balcony in carpet area of 512 sqft. This unit is designed with power back up, reserved parking, security, service/goods lift, air conditioned, intercom facility, ro water system. The address is Palanpur, Surat.",14000,40000,,19,1,,No,No,No,"Air Conditioned, Laundry Service, Internet/Wi-Fi Connectivity, Banquet Hall",False,True,Agent,78,Immediately,2026-04-13T03:05:51.000Z,"Apr 13, '26",True
c6uJLwrC7YBzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-771-Sq-ft-Multistorey-Apartment-FOR-Rent-Palanpur-in-Surat&id=4d423833373430393835,2026-04-19 13:52:36,21.215963,72.770389,,Shivaay Realty,"Palanpur,Surat",,,,Apartment,Semi-Furnished,8,14,,771,Sq-ft,Less than 5 years,"You can explore this 1 BHK flat on rent in Palanpur Surat. The 1 BHK apartment is available at a reasonable rent of ₹14,000. The flat is located on the 8 floor which includes 1 bathrooms, 2 balcony, and covers a carpet area of 424 sqft. Visit the flat at TP-9, FP, 116, Near Shavion shopping Shavion Circal, Gauvravpath, Road, Palanpur, Surat, Gujarat.",14000,42000,,18,1,,No,No,No,,True,True,Agent,40,Immediately,2026-03-11T17:19:43.000Z,"Mar 11, '26",True
