listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available
j5bq0P4PQnJzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-Maharani-Peta-in-Visakhapatnam&id=4d423834323639373333,2026-04-19 13:52:16,17.711611,83.313483,,Maharani Peta,"402 sb enclave , Rockdale layout",,,,Apartment,Semi-Furnished,4,5,,800,Sq-ft,10 to 15 years,"If you are searching a 1 BHK apartment for rent in Maharani Peta, check out this amazing rental flat. The flat is available for rent at a competitive amount of ₹15,000. The apartment is on the 4 floor, has a carpet area of 800 sqft with 1 bathrooms and 1 balcony. Visit the apartment at 402 sb enclave , Rockdale layout, Maharani Peta, Visakhapatnam, Andhra Pradesh. The owner has posted this 1 BHK flat for rent, so the brokerage fees is zero on this multistorey apartment.",15000,30000,1500,19,1,,No,No,No,,False,False,Owner,38,Immediately,2026-04-16T12:56:00.000Z,"Apr 16, '26",True
E6r0WQ24429zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-44-Sq-ft-Penthouse-FOR-Rent-MVP-Colony-in-Visakhapatnam&id=4d423834323931363439,2026-04-19 13:52:16,17.7422936,83.3335151,,MVP Colony,near little angels school..mvp colony sector-3,,,,Penthouse,Semi-Furnished,2,2,East,44,Sq-ft,10 to 15 years,"If you are searching a 1 BHK apartment for rent in MVP Colony, check out this amazing rental flat. The multistorey apartment is available at rent of ₹8,500. The apartment is on the 2 floor, has a carpet area of 44 sqft with 1 bathrooms and 1 balcony. The flat can be visited at near little angels school..mvp colony sector-3, MVP Colony, Visakhapatnam, Andhra Pradesh. You can find the 1 BHK flat without any brokerage.",8500,,,193,1,,No,No,No,,False,False,Owner,65,Immediately,2026-04-18T03:39:08.000Z,Yesterday,True
u/f/ehFhdU9zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Rent-Waltair-Main-Road-in-Visakhapatnam&id=4d423834303331343039,2026-04-19 13:52:16,17.724686,83.319981,,G Ramakrishna Rao,"401 s b enclave, rockdale layout, waltair main road.",,,,Apartment,Semi-Furnished,4,5,North,,,10 to 15 years,"Grab the chance to own this affordable 1 BHK flat for rent in the Waltair Main Road area. The apartment is available at an affordable rental price of ₹15,000. The flat is on the 4 floor and includes 1 bathrooms, 1 balcony with a carpet area of 700 sqft. The property features security, air conditioned. Visit the flat at 401 s b enclave, rockdale layout, waltair main road., Waltair Main Road, Visakhapatnam, Andhra Pradesh. This is a no-brokerage flat because the owner has posted the ad on this 1 BHK apartment.",15000,30000,1500,,1,,No,No,Yes,Air Conditioned,False,False,Owner,76,Immediately,2026-04-02T04:40:58.000Z,"Apr 02, '26",True
NWvMbkP5yfZzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-900-Sq-ft-Penthouse-FOR-Rent-Hb-Colony-in-Visakhapatnam&id=4d423834303836363639,2026-04-19 13:52:16,17.7463035,83.3214858,,Hb Colony,"Visakhapatnam, Andhra Pradesh",,,,Penthouse,Unfurnished,3,3,South,900,Sq-ft,Less than 5 years,"1 BHK apartment is available on rent in Hb Colony Visakhapatnam right away. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹9,500. The flat is on the 3 floor and includes 1 bathrooms, 2 balcony with a covered area of 900 sqft. Visit the flat at Hb Colony, Visakhapatnam, Andhra Pradesh. This 1 BHK rental flat comes with no brokerage fees.",9500,19000,,11,1,,No,No,No,,False,False,Owner,55,Immediately,2026-04-05T10:01:21.000Z,"Apr 05, '26",True
TKeWkfvV2mNzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-595-Sq-ft-Multistorey-Apartment-FOR-Rent-KRM-Colony-in-Visakhapatnam&id=4d423834303333373939,2026-04-19 13:52:16,17.7399193,83.3178097,,KRM Colony,"Krm colony, backside raithu bazaru, 80ft, seethamadhara, 530013.",,530013,,Apartment,Unfurnished,1,4,East,595,Sq-ft,Above 20 years,"Behind Oxygen towers , seethammadhara Check out this newly constructed 1 BHK flat on rent in the prime location of KRM Colony Visakhapatnam. The flat is available for rent at a competitive amount of ₹10,000. The flat is on the 1 floor and includes 1 bathrooms, 2 balcony with a covered area of 595 sqft. This unit is designed with security. The flat can be visited at Krm colony, backside raithu bazaru, 80ft, seethamadhara, 530013., KRM Colony, Visakhapatnam, Andhra Pradesh. The owner has posted this 1 BHK flat for rent, so the brokerage fees is zero on this multistorey apartment.",10000,20000,500,17,1,,No,No,No,,False,False,Owner,93,Select Date,2026-04-02T06:28:22.000Z,"Apr 02, '26",True
sd/ZAILyZkBzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1000-Sq-ft-Penthouse-FOR-Rent-Madhurwada-in-Visakhapatnam&id=4d423833353430353337,2026-04-19 13:52:16,17.8224722,83.3522229,,Madhurawada,pM palem,19202|APSWR Centre of Excellence,,,Penthouse,Semi-Furnished,4,4,North,1000,Sq-ft,New Construction,"You can avail the 1 BHK flat for rent in the well-known location of Madhurwada. The apartment is available at an affordable rental price of ₹15,000. Located on the 4 floor, the flat comprises 1 bathrooms, 1 balcony, and has a carpet area of 600 sqft. This flat is located at pM palem, Madhurwada, Visakhapatnam, Andhra Pradesh. This is a no-brokerage flat, as the owner is offering this 1 BHK flat on rent.",15000,5000,0,15,1,,No,No,No,,False,False,Owner,57,Immediately,2026-02-24T14:49:48.000Z,"Feb 24, '26",True
LVkCJwQQgHBzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Visakhapatnam&id=4d423833343136393333,2026-04-19 13:52:16,,,,boina shesha sridhar,kommadi,,,,Apartment,Unfurnished,5,5,West,,,5 to 10 years,"If you are planning to rent a flat, you can consider this 1 BHK flat situated in the prime location of charan castle. The apartment is available at an affordable rental price of ₹5,000. The flat is on the 5 floor and includes 1 bathrooms, 1 balcony with a carpet area of 1000 sqft. The brokerage amount of the 1 BHK apartment is zero.",5000,10000,0,,1,,No,No,No,,False,False,Owner,40,Immediately,2026-02-15T06:01:42.000Z,"Feb 15, '26",True
8R2j+YBGTYVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1000-Sq-ft-Penthouse-FOR-Rent-Anandapuram-in-Visakhapatnam&id=4d423636343931323337,2026-04-19 13:52:16,17.8939759,83.377701,,Anandapuram,Survey No 156-1,,,,Penthouse,Semi-Furnished,Ground,1,East,1000,Sq-ft,Less than 5 years,"This is the nest suitable for students and working professionals with no sound or air pollution. Plenty of space to hangout Grab the chance to own this affordable 1 BHK flat for rent in the Anandapuram area. The 1 BHK apartment is available at a reasonable rent of ₹10,000. Live in this lovely flat and get access to various useful facilities such as 1 Bed, 1 AC and 1 Wardrobe. Located on the Ground floor, the flat comprises 1 bathrooms, 1 balcony, and has a carpet area of 1300 sqft. 1 Covered parking space is also available. This unit features reserved parking. This flat is located at Survey No 156-1, Anandapuram, Visakhapatnam, Andhra Pradesh. The brokerage amount of the 1 BHK apartment is zero.",10000,20000,500,10,1,1 Covered,No,No,No,,False,False,Owner,85,Immediately,2026-02-03T22:30:33.000Z,"Feb 04, '26",True
3WtFVB/WBihzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-500-Sq-ft-Multistorey-Apartment-FOR-Rent-in-Visakhapatnam&id=4d423630343337333631,2026-04-19 13:52:16,,,,Gamini Rao,"Visakhapatnam, Andhra Pradesh",,,,Apartment,Semi-Furnished,6,6,,500,Sq-ft,,"1 BHK flat is available for rent in Z P Centre immediately. The rent of the 1 BHK flat is ₹15,000. This is a no-brokerage flat, as the owner is offering this 1 BHK flat on rent.",15000,,,30,1,,No,No,No,,False,False,Owner,46,Immediately,2026-03-04T21:33:09.000Z,"Mar 05, '26",True
mDVG6VPYVpJzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-800-Sq-ft-Multistorey-Apartment-FOR-Rent-MVP-Colony-in-Visakhapatnam&id=4d423832303939373833,2026-04-19 13:52:16,17.7422936,83.3335151,,MVP Colony,F-1.,,,,Apartment,Furnished,1,3,,800,Sq-ft,Less than 5 years,"You can explore this 1 BHK flat on rent in MVP Colony Visakhapatnam. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹16,000. Located on the 1 floor, the flat has 1 bathrooms, 2 balcony in covered area of 800 sqft. Visit the flat at F-1., MVP Colony, Visakhapatnam, Andhra Pradesh. There are no brokerage fees on this 1 BHK multistorey apartment.",16000,,,20,1,,No,No,No,,True,False,Owner,55,Immediately,2026-03-15T17:47:24.000Z,"Mar 15, '26",True
