developer,location,type,latitude,longitude,matched_address
WIPRO Limited,"Doddathogur Village, Begur Hobli, Electronic City, Banglore, Karnataka",IT,12.8474773,77.6513663,"Euro Kids, 163, 6th Cross Road, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560100, India"
WIPRO Limited,"Doddakannelli Village, Varthur Hobli, Sarjapur Road, Banglore, Karnataka",IT,12.9098272,77.6878438,"HP Petrol Pump, 12, Doddakannelli Varthur Hobli, 83, Off Sarjapur Road, Kaikondrahalli, Sarjapura Road, Doddakannalli, Gunjur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560035, India"
Biocon Limited.,"Anekal Taluk, Banglore, Karnataka",Bio-technology,12.7101637,77.6948022,"Taluk Offices, Anekal, Anekal, Bengaluru Urban, Karnataka, 562106, India"
Vikas Telecom Private Limited (formerly Vikas Telecom Limited),"Outer Ring Road, Devarabeesanhalli Village, Varthur Hoblic, Bangalore East Taluk, Karnataka",IT/ITES,12.9073569,77.6005607,"Outer Ring Road, Bilekahalli, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560078, India"
Arliga Ecoworld Infrastructure Pvt. Ltd. (formerly RMZ Ecoworld Infrastructure Pvt. Ltd. / Adarsh Prime Projects Private Limited),"Devarabeesanahalli, Bhoganahalli and Doddakannahalli Villages, Varthur Hobli, Bangalore, Karnataka",IT/ITES,12.9268618,77.6895136,"Devarabeesanahalli, Shivanasamudra Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India"
Global Village Techparks Pvt. Ltd. [(formerly Tanglin Development Ltd.(formerly Global Village SEZ)],"Global Village' Pattengere/Mylasandra Villages, Off Mysore Road, RVCE Post, Bangalore, Karnataka",IT/ITES,,,Not Found
Shyamaraju and Company (India) Pvt. Ltd. (formerly Divyasree Technopark),"Kundalahalli Village, Krishnarajapuram Hobli, Bangalore East Taluk, District Bangalore, Karnataka",IT/ITES Enabled Sevices,,,Not Found
Cessna Business Park Pvt. Ltd. (formerly Cessna Garden Developers Pvt. Ltd.),"Kadubeesanahalli Vill, Varthur Hobli, District Banglore, Karnataka",IT/ITES,12.9098272,77.6878438,"HP Petrol Pump, 12, Doddakannelli Varthur Hobli, 83, Off Sarjapur Road, Kaikondrahalli, Sarjapura Road, Doddakannalli, Gunjur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560035, India"
Manyata Promoters Pvt. Ltd. (formerly Manyata Embassy Business Park),"Village Rachenhalli, Nagavara and Tanisandra, District Banglore, Karnataka",IT/ITES,,,Not Found
HCL Technologies Ltd.,"Jigani Industrial Area, Attibele Taluka, Bangalore, Karnataka",IT/ITES,12.7811006,77.6344183,"Bangalore Metropolitian Transport, 38,39,40, Jigani, Bengaluru, Anekal, Bengaluru Urban, Karnataka, 560105, India"
