listing_id,source_portal,listing_url,scraped_at,latitude,longitude,locality,sublocality,address,landmark_details,pincode,bhk_type,property_type,furnishing,floor_number,total_floors,facing,sqft,area_type,age_years,apartment_bio,monthly_rent,deposit_amount,maintenance_monthly,price_per_sqft,bathrooms,parking,has_lift,has_gym,has_security,luxury_amenities,is_verified,is_premium,owner_type,confidence_score,possession_status,listed_date,last_updated,is_available,listing_type
0X3YgWrhiEVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-950-Sq-ft-Multistorey-Apartment-FOR-Rent-Kondapur-in-Hyderabad&id=4d423833343334303737,2026-04-18 14:59:37,17.4661387919325,78.3574087383959,,Kondapur,"Hyderabad, Andhra Pradesh","19210|Hitech Railway Station, 19201|Sarath City Capital Mall, 19201|Laxmi Cybercity, 19202|New Bloom High School, 19202|Sri Gautham Grammar High School, 19203|Kim's Hospital, 19203|Aditya Hospitals Medchal, 19206|Amb Cinemas (Sarath City Capital Mall), 19206|Paradigm Sss Square",,1,Apartment,Furnished,5,6.0,East,950.0,Sq-ft,New Construction,"Check out this newly constructed 1 BHK flat on rent in the prime location of Kondapur Hyderabad. This 1 BHK flat can be availed at the rental price of ₹30,000. The flat is located on the 5 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 950 sqft. The property features power back up, reserved parking, security, service/goods lift, air conditioned, intercom facility. Find this apartment at Kondapur, Hyderabad - North, Andhra Pradesh.",30000.0,60000.0,2000.0,32.0,1,,Yes,No,No,"Service/Goods Lift, Air Conditioned, Laundry Service, Internet/Wi-Fi Connectivity",True,True,Agent,69,Immediately,2026-04-16T23:45:20.000Z,Yesterday,True,rent
fDdb+M4BcX1zpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Rent-Kondapur-in-Hyderabad&id=4d423832333433333731,2026-04-18 14:59:37,17.4661387919325,78.3574087383959,,Kondapur,"Hyderabad, Andhra Pradesh","19210|Hitech Railway Station, 19201|Laxmi Cybercity, 19201|Sarath City Capital Mall, 19202|Vignan s Institute of Management Technology for Women, 19202|Sri Rama High School, 19203|Holistic, 19203|Kakatiya Hospital, 19206|South India Shopping Mall, 19206|City Central Mall",,1,Apartment,Furnished,4,5.0,East,450.0,Sq-ft,New Construction,"Find this 1 BHK rental flat in Kondapur Hyderabad. This 1 BHK flat is available at the reasonable rent amount of ₹25,999. The flat is on the 4 floor and includes 1 bathrooms, 1 balcony with a covered area of 450 sqft. This home provides air conditioned.",25999.0,52000.0,1000.0,58.0,1,,No,No,No,Air Conditioned,True,True,Agent,66,Immediately,2026-04-16T23:45:20.000Z,Yesterday,True,rent
st6LaRhXfHdzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Rent-Hitech-City-in-Hyderabad&id=4d423834313531393831,2026-04-18 14:59:37,17.4479852823892,78.3761171942403,,Hitech City,madhapur,"19210|Raidurg Metro Station, 19210|Hi-Tech City Bus Stop, 19201|Commerzone Madhapur, 19201|Meenakshi Tech Park, 19202|Sarada High School, 19203|Yashoda Hospitals, 19203|Medicover Hospitals, 19206|L And T Metro Mega Mall, 19206|Galleria Mall High Tech City",,1,Apartment,Furnished,3,5.0,East,750.0,Sq-ft,Less than 5 years,"1bhk fully furnished flat. If you are searching a 1 BHK apartment for rent in Hitech City, check out this amazing rental flat. The apartment is available at an affordable rental price of ₹26,001. The flat is located on the 3 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 620 sqft. The flat comes with power back up, reserved parking, security, air conditioned. Visit the flat at madhapur, Hitech City, Hyderabad - North, Andhra Pradesh.",26001.0,52000.0,1000.0,35.0,1,,Yes,No,No,Air Conditioned,True,True,Agent,73,Immediately,2026-04-17T23:45:22.000Z,Today,True,rent
7O0C7oy6x+lzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Rent-Gachibowli-in-Hyderabad&id=4d423833303935393537,2026-04-18 14:59:37,17.443563,78.3397746,,Gachibowli,near meenakshi towers,"19210|Indira Nagar Bus Stop, 19210|DLF Gate 1 (Pickup) Bus Stop, 19201|Vijetha Super Market, Masjid Banda, 19201|Pristine Mall, 19202|Maharishi Vidya Mandir, 19202|Chirec International School, 19203|Pi Health Cancer Hospital, 19203|CARE Hospitals, 19206|Amb Cinemas (Sarath City Capital Mall), 19206|South India Shopping Mall",,1,Apartment,Furnished,6,19.0,North - East,700.0,Sq-ft,5 to 10 years,"At prime location with all amenities You can avail the 1 BHK flat for rent in the well-known location of Gachibowli. This 1 BHK flat is available at the reasonable rent amount of ₹26,500. The apartment is on the 6 floor, has a carpet area of 800 sqft with 1 bathrooms and 1 balcony. This building features 19 floor and provides Kids play area facilities. This home provides power back up, reserved parking, security, service/goods lift, visitor parking. The full address of the apartment is Near AIG Hospital, Gachibowli, Hyderabad, Telangana.",26500.0,,,38.0,1,,No,No,No,"Banquet Hall, Bar/Lounge, Jogging and Strolling Track, Outdoor Tennis Courts",True,True,Agent,48,Immediately,2026-04-16T23:45:21.000Z,Yesterday,True,rent
NAy0qlxnM6lzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Kondapur-in-Hyderabad&id=4d423832383035353933,2026-04-18 14:59:37,17.4661387919325,78.3574087383959,,Kondapur,kondpaur,"19210|Hitech Railway Station, 19201|Vijetha Super Market, 19201|Sarath City Capital Mall, 19202|New Bloom High School, 19202|Chirec International School, 19203|Kim's Hospital, 19203|Aditya Hospitals Medchal, 19206|Amb Cinemas (Sarath City Capital Mall), 19206|Amb Cinemas (Sarath City Capital Mall)",,1,Apartment,Furnished,2,6.0,,600.0,Sq-ft,New Construction,"You can explore this 1 BHK flat on rent in Kondapur Hyderabad. The flat is available for rent at a competitive amount of ₹28,000. The flat is located on the 2 floor which includes 1 bathrooms, 1 balcony, and covers a carpet area of 200 sqft. The full address of the apartment is kondpaur, Kondapur, Hyderabad - North, Andhra Pradesh.",28000.0,200.0,200.0,47.0,1,,No,No,No,,False,True,Agent,38,Immediately,2026-04-16T23:45:21.000Z,Yesterday,True,rent
DT4zhgfkcdVzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Rent-Sri-Ram-Nagar-in-Hyderabad&id=4d423831353239323133,2026-04-18 14:59:37,17.4619099628456,78.3546733150178,,Sri Ram Nagar,Hitech City,,,1,Apartment,Furnished,4,5.0,East,450.0,Sq-ft,New Construction,"East Facing Furnished flat with modular kitchen in good locality Grab the chance to own this affordable 1 BHK flat for rent in the Sri Ram Nagar area. This 1 BHK flat is available at the reasonable rent amount of ₹26,000. Get access to smart facilities such as 1 Wardrobe, 1 Bed, 1 TV, Fridge, 1 AC, Washing Machine and Sofa simply by choosing this flat for rent. This unit is designed with security. Find this apartment at Hitech City, Sri Ram Nagar, Hyderabad - North, Andhra Pradesh.",26000.0,52000.0,1000.0,58.0,1,,No,No,No,,True,True,Agent,100,Immediately,2026-04-16T23:45:20.000Z,Yesterday,True,rent
smK+b9yDwrdzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-1050-Sq-ft-Multistorey-Apartment-FOR-Rent-Kondapur-in-Hyderabad&id=4d423833393733303431,2026-04-18 14:59:37,17.4661387919325,78.3574087383959,,Kondapur,"Hyderabad, Andhra Pradesh","19210|Hitech Railway Station, 19201|Vijetha Super Market, Masjid Banda, 19201|Sarath City Capital Mall, 19202|Chirec International School, 19202|Sri Rama High School, 19203|Sai Neha Hospital, 19203|Aditya Hospitals Medchal, 19206|Amb Cinemas (Sarath City Capital Mall), 19206|Amb Cinemas (Sarath City Capital Mall)",,1,Apartment,Furnished,5,7.0,North,1050.0,Sq-ft,New Construction,"1bhk fully furnished duelax near by main road and Near all general stores You can explore this 1 BHK flat on rent in Kondapur Hyderabad. You can get this flat at monthly rent of ₹26,000. The flat is on the 5 floor and includes 1 bathrooms, 1 balcony with a carpet area of 950 sqft. This flat is fitted with power back up, security, service/goods lift, air conditioned, intercom facility, ro water system. Find this apartment at Kondapur, Hyderabad - North, Andhra Pradesh.",26000.0,52000.0,0.0,25.0,1,,No,No,No,"Air Conditioned, Laundry Service, Internet/Wi-Fi Connectivity, Jogging and Strolling Track",True,True,Agent,69,Immediately,2026-04-17T23:45:21.000Z,Today,True,rent
A9fbW2WJNLxzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-750-Sq-ft-Builder-Floor-Apartment-FOR-Rent-Kondapur-in-Hyderabad&id=4d423833393736383237,2026-04-18 14:59:37,17.4661387919325,78.3574087383959,,Kondapur,Sriram nagar,"19210|Hitech Railway Station, 19201|Vijetha Super Market, 19201|Laxmi Cybercity, 19202|Chirec International School, 19202|Sri Rama High School, 19203|Holistic, 19203|Kim's Hospital, 19206|City Central Mall, 19206|Amb Cinemas (Sarath City Capital Mall)",,1,Builder Floor Apartment,Furnished,4,6.0,North,750.0,Sq-ft,New Construction,"1 BHK FULLY Furnished Available for Rent 1 BHK apartment is available on rent in Kondapur Hyderabad right away. This 1 BHK flat is available at the reasonable rent amount of ₹28,000. The apartment is on the 4 floor, has a carpet area of 700 sqft with 1 bathrooms and 1 balcony. The flat comes with power back up, security, visitor parking.",28000.0,60000.0,2000.0,37.0,1,,Yes,No,Yes,Visitor Parking,True,True,Agent,100,Immediately,2026-04-17T23:45:21.000Z,Today,True,rent
d30ftfIKf7tzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Rent-Kondapur-in-Hyderabad&id=4d423833383731343635,2026-04-18 14:59:37,17.4661387919325,78.3574087383959,,Kondapur,"Hyderabad, Andhra Pradesh","19210|Hitech Railway Station, 19201|Vijetha Super Market, Masjid Banda, 19201|Sarath City Capital Mall, 19202|Maharishi Vidya Mandir, 19202|Arbor International School, 19203|Kim's Hospital, 19203|Aditya Hospitals Medchal, 19206|South India Shopping Mall, 19206|The Chennai Shopping Mall, Chandanagar",,1,Apartment,Furnished,5,6.0,North,,,Less than 5 years,"1 bhk fully furnished flat with modular kitchen, chimney, cupboards, balcony, washing machine, sofa,fridge, fully automatic washing machine, security,lift 24 hours water Find this 1 BHK rental flat in Kondapur Hyderabad. Available at a rental price of ₹27,000, this 1 BHK flat is worth considering. Located on the 5 floor, the flat has 1 bathrooms, 1 balcony in carpet area of 600 sqft. The apartment is equipped with power back up, reserved parking, security, air conditioned. Visit the flat at Kondapur, Hyderabad - North, Andhra Pradesh.",27000.0,54000.0,0.0,,1,,Yes,No,No,Air Conditioned,True,True,Agent,73,Immediately,2026-04-15T23:45:21.000Z,"Apr 16, '26",True,rent
cbnyGBSyd4tzpSvf+uAgZw==,Magicbricks,https://www.magicbricks.com/property-details/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Rent-Madhapur-in-Hyderabad&id=4d423833383432333231,2026-04-18 14:59:37,17.4474364130253,78.3914778977547,,Madhapur,"Hyderabad, Andhra Pradesh","19210|Durgam Cheruvu Metro Station|5 minutes, 19201|International Tech Park Hyderabad, 19201|The Fresh Market, 19202|Meridian School, 19202|Cgr International School, 19203|Matlis, 19206|PVR Icon, 19206|Mana Mall",,1,Apartment,Furnished,2,5.0,East,,,Less than 5 years,"Multistorey apartment is available for rent. It has a carpet area of 450 sq-ft, it is 1 BHK apartment. Please contact for more details. Check out this newly constructed 1 BHK flat on rent in the prime location of Madhapur Hyderabad. The Rent amount of this 1 BHK apartment is set at an attractive price of ₹32,000. The apartment is on the 2 floor, has a carpet area of 450 sqft with 1 bathrooms and 1 balcony. This unit is designed with air conditioned. Find this apartment at Madhapur, Hyderabad, Telangana.",32000.0,64000.0,0.0,,1,,No,No,No,Air Conditioned,False,True,Agent,70,Immediately,2026-03-18T15:42:50.000Z,"Mar 18, '26",True,rent
