ward_id,ward_name,zone_name
501401,501401,Andhra Pradesh
500078,500078,Andhra Pradesh
500014,500014,Andhra Pradesh
500043,500043,Andhra Pradesh
501301,501301,Andhra Pradesh
500054,500054,Andhra Pradesh
500087,500087,Andhra Pradesh
500072,500072,Andhra Pradesh
500055,500055,Andhra Pradesh
500049,500049,Andhra Pradesh
500094,500094,Andhra Pradesh
500032,500032,Andhra Pradesh
500015,500015,Andhra Pradesh
500092,500092,Andhra Pradesh
500010,500010,Andhra Pradesh
500042,500042,Andhra Pradesh
500085,500085,Andhra Pradesh
500050,500050,Andhra Pradesh
500056,500056,Andhra Pradesh
500037,500037,Andhra Pradesh
500011,500011,Andhra Pradesh
500062,500062,Andhra Pradesh
500075,500075,Andhra Pradesh
500086,500086,Andhra Pradesh
500090,500090,Andhra Pradesh
500084,500084,Andhra Pradesh
500046,500046,Andhra Pradesh
500081,500081,Andhra Pradesh
500040,500040,Andhra Pradesh
500091,500091,Andhra Pradesh
500009,500009,Andhra Pradesh
500076,500076,Andhra Pradesh
500051,500051,Andhra Pradesh
500018,500018,Andhra Pradesh
500045,500045,Andhra Pradesh
500026,500026,Andhra Pradesh
500016,500016,Andhra Pradesh
500047,500047,Andhra Pradesh
500021,500021,Andhra Pradesh
500003,500003,Andhra Pradesh
500038,500038,Andhra Pradesh
500071,500071,Andhra Pradesh
500017,500017,Andhra Pradesh
500033,500033,Andhra Pradesh
500082,500082,Andhra Pradesh
500073,500073,Andhra Pradesh
500007,500007,Andhra Pradesh
500083,500083,Andhra Pradesh
500061,500061,Andhra Pradesh
500063,500063,Andhra Pradesh
500034,500034,Andhra Pradesh
500039,500039,Andhra Pradesh
500025,500025,Andhra Pradesh
500080,500080,Andhra Pradesh
500030,500030,Andhra Pradesh
500089,500089,Andhra Pradesh
500013,500013,Andhra Pradesh
500041,500041,Andhra Pradesh
500020,500020,Andhra Pradesh
500088,500088,Andhra Pradesh
500022,500022,Andhra Pradesh
500044,500044,Andhra Pradesh
500004,500004,Andhra Pradesh
500029,500029,Andhra Pradesh
500028,500028,Andhra Pradesh
500057,500057,Andhra Pradesh
500031,500031,Andhra Pradesh
500008,500008,Andhra Pradesh
500001,500001,Andhra Pradesh
500019,500019,Andhra Pradesh
500027,500027,Andhra Pradesh
500095,500095,Andhra Pradesh
500067,500067,Andhra Pradesh
500036,500036,Andhra Pradesh
500006,500006,Andhra Pradesh
500060,500060,Andhra Pradesh
500068,500068,Andhra Pradesh
500024,500024,Andhra Pradesh
500048,500048,Andhra Pradesh
500012,500012,Andhra Pradesh
500066,500066,Andhra Pradesh
500035,500035,Andhra Pradesh
500064,500064,Andhra Pradesh
500059,500059,Andhra Pradesh
500002,500002,Andhra Pradesh
500023,500023,Andhra Pradesh
500070,500070,Andhra Pradesh
500065,500065,Andhra Pradesh
500053,500053,Andhra Pradesh
500079,500079,Andhra Pradesh
500058,500058,Andhra Pradesh
500093,500093,Andhra Pradesh
500005,500005,Andhra Pradesh
500074,500074,Andhra Pradesh
500052,500052,Andhra Pradesh
500069,500069,Andhra Pradesh
500096,500096,Andhra Pradesh
500077,500077,Andhra Pradesh
501201,501201,Andhra Pradesh
501218,501218,Andhra Pradesh
500510,500510,Andhra Pradesh
