Name of the Developer,Location,Type of SEZ
WIPRO Limited,"Doddathogur Village, Begur Hobli, Electronic City, Banglore, Karnataka",IT
WIPRO Limited,"Doddakannelli Village, Varthur Hobli, Sarjapur Road, Banglore, Karnataka",IT
Biocon Limited.,"Anekal Taluk, Banglore, Karnataka",Bio-technology
Vikas Telecom Private Limited (formerly Vikas Telecom Limited),"Outer Ring Road, Devarabeesanhalli Village, Varthur Hoblic, Bangalore East Taluk, Karnataka",IT/ITES
Arliga Ecoworld Infrastructure Pvt. Ltd. (formerly RMZ Ecoworld Infrastructure Pvt. Ltd. / Adarsh Prime Projects Private Limited),"Devarabeesanahalli, Bhoganahalli and Doddakannahalli Villages, Varthur Hobli, Bangalore, Karnataka",IT/ITES
Global Village Techparks Pvt. Ltd. [(formerly Tanglin Development Ltd.(formerly Global Village SEZ)],"Global Village' Pattengere/Mylasandra Villages, Off Mysore Road, RVCE Post, Bangalore, Karnataka",IT/ITES
Shyamaraju and Company (India) Pvt. Ltd. (formerly Divyasree Technopark),"Kundalahalli Village, Krishnarajapuram Hobli, Bangalore East Taluk, District Bangalore, Karnataka",IT/ITES Enabled Sevices
Cessna Business Park Pvt. Ltd. (formerly Cessna Garden Developers Pvt. Ltd.),"Kadubeesanahalli Vill, Varthur Hobli, District Banglore, Karnataka",IT/ITES
Manyata Promoters Pvt. Ltd. (formerly Manyata Embassy Business Park),"Village Rachenhalli, Nagavara and Tanisandra, District Banglore, Karnataka",IT/ITES
HCL Technologies Ltd.,"Jigani Industrial Area, Attibele Taluka, Bangalore, Karnataka",IT/ITES
Information Technology Park Limited,"Sadaramangala and Pattandur Agrahara Village, Whitefield Road, District Bangalore, Karnataka",IT/ITES
Pritech Park (formerly Primal Projects Private Limited),"Bellandur Village, Varthur Hobli, Bangalore East Taluk, Bangalore Urban District, Karnataka",IT/ITES
Bagmane Developers Pvt. Ltd. (Formerly Bagmane Construction Pvt. Ltd.),"Mahadevapura, K R Puram, Bangalore North, Karnataka",IT/ITES
Karle Infra Pvt. Ltd.,"Nagavara Village, North Bangalore Taluka, Karnataka",IT/ITES
Gopalan Enterprises (India) Private Limited.,"Hoodi Village, K.R. Puram, Whitefield, Banglore, Karnataka.",IT/IT enabled services
Milestone Buildcon Private Limited,"Village Chokkanahalli, Taluka Yelahanka Hobli Bangalore North, Karnataka",IT/ITES
Karnataka Industrial Areas Development Board (KIADB),"Village Bhatramaranahalli. Kavadadasanahalli, Dummanahalli, Talukas Bangalore North and Devanahali, Distt. Bangalore, Karnataka",Aerospace and Industry
Wipro Limited.,"Village Kodathi, Varthur Hobli, Sarjapur Road, District Bangalore, Karnataka",IT/ITES
Amin Properties LLP,"Pujanahalli Village, Devanahalli Taluk, Bangalore, Karnataka",IT/ITES
Bagmane Developers Pvt. Ltd.,"Outer Ring Road, Doddanekundi Circle, Marathalli Post, Bengaluru, Karnataka",IT/ITES
RGA Infrastructure,"Sy. No. 31/1, Chikkankannelli Village, Varthur Hobli, Bangalore East Taluk, Bangalore, Karnataka",IT/ITES
Modern Asset,"Survey No. 2/1 & 2/2, Venkatala Village, Yelahanka Hobli, Bangalore, Karnataka",IT/ITES
"Brigade Properties Pvt. Ltd. (Formerly Brookefields Real Estates and Projects Pvt. Ltd., Brooke Bond Real Estates Private Limited)","Bangalore, Karnataka",IT/ITES/BPO/EH
Infosys Limited,"Electronic City, Doddathogur Village, Begur Hobli, Bangalore, Karnataka",IT/ITES
Bagmane Developers Pvt. Ltd.,"Survery No. 97(Part), Doddanakundi Village, Doddanakundi Industrial Area, Bangalore, Karnataka",IT/ITES
L & T Realty Developers Ltd.,"L&T Campus, Bellary Road, Village Byatarayanapura, Next to GKVK, District Bangalore, Karnataka",IT/ITES
Embassy Property Developments Private Limited,"Outer Ring Road, Rachenahalli Village, Bangalore, Karnataka",IT/ITES
