Name of the Developer,Location,Type of SEZ,Mapped BBMP Ward Name (ID),Zone Name
WIPRO Limited,"Doddathogur Village, Begur Hobli, Electronic City",IT,Chikkathoguru (34) / Beguru (36),Jayanagar
WIPRO Limited,"Doddakannelli Village, Varthur Hobli, Sarjapur Road",IT,Varthur (40) / Bellanduru (47),Mahadevapura
Biocon Limited.,Anekal Taluk,Bio-technology,Outside BBMP Limits (Rural),N/A
Vikas Telecom Private Limited,"Outer Ring Road, Devarabeesanhalli Village",IT/ITES,Bellanduru (47),Mahadevapura
Arliga Ecoworld Infrastructure,"Devarabeesanahalli, Bhoganahalli and Doddakannahalli",IT/ITES,Bellanduru (47),Mahadevapura
Global Village Techparks Pvt. Ltd.,"Pattengere/Mylasandra Villages, Off Mysore Road",IT/ITES,Rajarajeshwari Nagara (23),Rajarajeshwarinagar
Shyamaraju and Company (India),"Kundalahalli Village, Krishnarajapuram Hobli",IT/ITES,Kundalahalli (37),Mahadevapura
Cessna Business Park Pvt. Ltd.,"Kadubeesanahalli Vill, Varthur Hobli",IT/ITES,Bellanduru (47) / Panathur (48),Mahadevapura
Manyata Promoters Pvt. Ltd.,"Village Rachenhalli, Nagavara and Tanisandra",IT/ITES,Nagavara (22) / Thanisandra (19),Byatarayanapura
HCL Technologies Ltd.,"Jigani Industrial Area, Attibele Taluka",IT/ITES,Outside BBMP Limits (Rural),N/A
Information Technology Park Limited,"Sadaramangala and Pattandur Agrahara, Whitefield",IT/ITES,Whitefield (38) / Kadugodi (31),Mahadevapura
Pritech Park,"Bellandur Village, Varthur Hobli",IT/ITES,Bellanduru (47),Mahadevapura
Bagmane Developers Pvt. Ltd.,"Mahadevapura, K R Puram",IT/ITES,Mahadevapura (22),K.R. Pura
Karle Infra Pvt. Ltd.,Nagavara Village,IT/ITES,Nagavara (22),Byatarayanapura
Gopalan Enterprises (India),"Hoodi Village, K.R. Puram, Whitefield",IT/IT,Hoodi (29),Mahadevapura
Milestone Buildcon Private Limited,"Village Chokkanahalli, Yelahanka Hobli",IT/ITES,Sampigehalli (20) / Thanisandra (19),Byatarayanapura
KIADB,"Bhatramaranahalli, Kavadadasanahalli, Devanahali",Aerospace,Outside BBMP Limits (Rural),N/A
Wipro Limited.,"Village Kodathi, Varthur Hobli, Sarjapur Road",IT/ITES,Varthur (40) / Gunjur (50),Mahadevapura
Amin Properties LLP,"Pujanahalli Village, Devanahalli Taluk",IT/ITES,Outside BBMP Limits (Rural),N/A
Bagmane Developers Pvt. Ltd.,"Outer Ring Road, Doddanekundi Circle",IT/ITES,Dodda Nekkundi (43),Mahadevapura
RGA Infrastructure,"Chikkankannelli Village, Varthur Hobli",IT/ITES,Varthur (40),Mahadevapura
Modern Asset,"Venkatala Village, Yelahanka Hobli",IT/ITES,Chowdeshwari ward (3),Yelahanka
Brigade Properties Pvt. Ltd.,"Brookefields, Bangalore",IT/ITES,Kundalahalli (37),Mahadevapura
Infosys Limited,"Electronic City, Doddathogur Village, Begur Hobli",IT/ITES,Chikkathoguru (34) / Beguru (36),Jayanagar
Bagmane Developers Pvt. Ltd.,"Doddanakundi Village, Doddanakundi Industrial Area",IT/ITES,Dodda Nekkundi (43),Mahadevapura
L & T Realty Developers Ltd.,"Bellary Road, Village Byatarayanapura, Next to GKVK",IT/ITES,Byatarayanapura (15),Byatarayanapura
Embassy Property Developments,"Outer Ring Road, Rachenahalli Village",IT/ITES,Thanisandra (19),Byatarayanapura
